substrate,Enzyme,site_truth,truth,site_count
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CYP2C9,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H]([O:1][CH2:1]CO)[C@@H](O)[C@H]3O)c2n1,O=CCO,1
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CYP3A4,CCCSc1nc(N[C@@H:1]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H]([O:1]CCO)[C@@H](O)[C@H]3O)c2n1|CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H]([O:1][CH2:1]CO)[C@@H](O)[C@H]3O)c2n1,O=C1C[C@H]1c1ccc(F)c(F)c1|O=CCO,2
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CYP1A2,CCN(CC)CCNC(=O)c1cc(Cl)c(N)[cH:1]c1OC|CCN(CC)CCNC(=O)c1cc(Cl)c([NH2:1])cc1OC|CC[N:1](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC|CC[N:1](CCNC(=O)c1cc(Cl)c([NH2:1])cc1OC)[CH2:1][CH3:1],CCN(CC)CCNC(=O)c1cc(Cl)c(N)c(O)c1OC|CCN(CC)CCNC(=O)c1cc(Cl)c(NO)cc1OC|CCNCCNC(=O)c1cc(Cl)c(N)cc1OC|CCNCCNC(=O)c1cc(Cl)c(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1OC|CC[N+](O)(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,4
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CYP2C9,CCN(CC)CCNC(=O)c1cc(Cl)c(N)[cH:1]c1OC|CCN(CC)CCNC(=O)c1cc(Cl)c([NH2:1])cc1OC|CC[N:1](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CCN(CC)CCNC(=O)c1cc(Cl)c(N)c(O)c1OC|CCN(CC)CCNC(=O)c1cc(Cl)c(NO)cc1OC|CC[N+](O)(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,3
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CYP2D6,CCN(CC)CCNC(=O)c1cc(Cl)c(N)[cH:1]c1OC|CCN(CC)CCNC(=O)c1cc(Cl)c([NH2:1])cc1OC|CC[N:1](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC|CC[N:1](CCNC(=O)c1cc(Cl)c([NH2:1])cc1OC)[CH2:1][CH3:1],CCN(CC)CCNC(=O)c1cc(Cl)c(N)c(O)c1OC|CCN(CC)CCNC(=O)c1cc(Cl)c(NO)cc1OC|CCNCCNC(=O)c1cc(Cl)c(N)cc1OC|CCNCCNC(=O)c1cc(Cl)c(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1OC|CC[N+](O)(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,4
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CYP3A4,CCN(CC)CCNC(=O)c1cc(Cl)c(N)[cH:1]c1OC|CCN(CC)CCNC(=O)c1cc(Cl)c([NH2:1])cc1OC|CC[N:1](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC|CC[N:1](CCNC(=O)c1cc(Cl)c([NH2:1])cc1OC)[CH2:1][CH3:1],CCN(CC)CCNC(=O)c1cc(Cl)c(N)c(O)c1OC|CCN(CC)CCNC(=O)c1cc(Cl)c(NO)cc1OC|CCNCCNC(=O)c1cc(Cl)c(N)cc1OC|CCNCCNC(=O)c1cc(Cl)c(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1OC|CC[N+](O)(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,4
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CYP3A4,CC[N:1](c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN4CCOCC4)cc3)cc(NC3CCOCC3)c2C)c(=O)[nH]1,1
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CYP3A4,CC[NH:1][C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,C[C@H]1C[C@H](N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CYP1A2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[N:1](CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CYP2C9,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[N:1](CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CYP3A4,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[N:1](CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,1
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CYP1A2,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(C[N:1](C)C)c12|CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12,2
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CYP2D6,CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,1
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CYP3A4,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(C[N:1](C)C)c12|CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(C[N:1](C)C)c12,CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12|CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12|CCOC(=O)c1c(C[S+]([O-])c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(C[S+]([O-])c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12,3
CN(C)CCCN1c2ccccc2CCc2ccccc21,CYP1A2,CN(C)CCCN1c2ccccc2CCc2c[cH:1]ccc21|C[N:1](C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21|CNCCCN1c2ccccc2CCc2ccccc21,2
CN(C)CCCN1c2ccccc2CCc2ccccc21,CYP2D6,CN(C)CCCN1c2ccccc2CCc2c[cH:1]ccc21|C[N:1](C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21|CNCCCN1c2ccccc2CCc2ccccc21,2
CN(C)CCCN1c2ccccc2CCc2ccccc21,CYP3A4,CN(C)CCCN1c2ccccc2CCc2c[cH:1]ccc21|C[N:1](C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21|CNCCCN1c2ccccc2CCc2ccccc21,2
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CYP3A4,C[N:1]1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,Oc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)NCC3,1
CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21,CYP3A4,CN1c2ccccc2C(=O)N2C[CH2:1][c:1]3[c:1]([nH:1][c:1]4cccc[c:1]34)C21,CN1c2ccccc2C(=O)N2CC=C3C(=Nc4ccccc43)C21,1
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CYP1A2,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3cccc[n:1]3)n[nH]c2c1|CNC(=O)c1ccccc1Sc1ccc2c(/[CH:1]=[CH:1]/c3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3cccc[n+]3[O-])n[nH]c2c1|CNC(=O)c1ccccc1Sc1ccc2c(C3OC3c3ccccn3)n[nH]c2c1,2
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CYP3A4,CNC(=O)c1ccccc1[S:1]c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|O=C(N[CH3:1])c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1S(=O)c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|O=C(NCO)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,2
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CYP1A2,CNCC[C@@H](Oc1cc[cH:1]cc1C)c1ccccc1|Cc1ccccc1O[C@H](CC[NH:1]C)c1ccccc1,CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1|Cc1ccccc1O[C@@H](CCN)c1ccccc1|Cc1ccccc1O[C@H](CCN)c1ccccc1,2
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CYP2C9,CNCC[C@@H](Oc1cc[cH:1]cc1C)c1ccccc1|CNCC[C@@H](Oc1ccccc1[CH3:1])c1ccccc1|Cc1ccccc1O[C@H](CC[NH:1]C)c1ccccc1,CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1|CNCC[C@@H](Oc1ccccc1CO)c1ccccc1|Cc1ccccc1O[C@H](CCN)c1ccccc1,3
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CYP2D6,CNCC[C@@H](Oc1cc[cH:1]cc1C)c1ccccc1|CNCC[C@@H](Oc1ccccc1C)c1cc[cH:1]cc1|CNCC[C@@H](Oc1ccccc1[CH3:1])c1ccccc1|Cc1ccccc1O[C@H](CC[NH:1]C)c1ccccc1,CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1|CNCC[C@@H](Oc1ccccc1CO)c1ccccc1|CNCC[C@H](Oc1ccccc1C)c1ccc(O)cc1|Cc1ccccc1O[C@@H](CCN)c1ccccc1|Cc1ccccc1O[C@H](CCN)c1ccccc1,4
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CYP3A4,CNCC[C@@H](Oc1cc[cH:1]cc1C)c1ccccc1|CNCC[C@@H](Oc1ccccc1[CH3:1])c1ccccc1|Cc1ccccc1O[C@H](CC[NH:1]C)c1ccccc1,CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1|CNCC[C@@H](Oc1ccccc1CO)c1ccccc1|Cc1ccccc1O[C@H](CCN)c1ccccc1,3
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,CYP2D6,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)[CH3:1],COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)CO,1
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,CYP3A4,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)[CH3:1],COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)CO,1
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,CYP2C9,CC(Cc1ccc([O:1]C)cc1)NCC(O)c1ccc(O)c(NC=O)c1,CC(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c(NC=O)c1|C[C@H](Cc1ccc(O)cc1)NC[C@@H](O)c1ccc(O)c(NC=O)c1,1
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,CYP2D6,CC(Cc1ccc([O:1]C)cc1)NCC(O)c1ccc(O)c(NC=O)c1,CC(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c(NC=O)c1|C[C@H](Cc1ccc(O)cc1)NC[C@@H](O)c1ccc(O)c(NC=O)c1,1
COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,CYP2C9,C[O:1]c1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,NC(=O)C1Cc2c([nH]c3ccccc23)CN1S(=O)(=O)c1ccc(O)cc1,1
COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,CYP2D6,C[O:1]c1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,NC(=O)C1Cc2c([nH]c3ccccc23)CN1S(=O)(=O)c1ccc(O)cc1,1
COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,CYP3A4,COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)c[cH:1]1|COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3[CH2:1][CH:1]2C(N)=O)cc1,COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3C=C2C(N)=O)cc1|COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1O,2
COc1ccc2ccc(=O)oc2c1CC=C(C)C,CYP1A2,CC(C)=CCc1c([O:1]C)ccc2ccc(=O)oc12|COc1ccc2c[cH:1]c(=O)oc2c1CC=C(C)C|COc1ccc2ccc(=O)oc2c1CC=C(C)[CH3:1]|COc1ccc2ccc(=O)oc2c1[CH2:1][CH:1]=[C:1](C)[CH3:1],C=C(C)/C=C/c1c(OC)ccc2ccc(=O)oc12|CC(C)=CCc1c(O)ccc2ccc(=O)oc12|COc1ccc2cc(O)c(=O)oc2c1CC=C(C)C|COc1ccc2ccc(=O)oc2c1C/C=C(\C)CO,4
COc1ccc2ccc(=O)oc2c1CC=C(C)C,CYP2C9,CC(C)=CCc1c([O:1]C)ccc2ccc(=O)oc12|COc1ccc2c[cH:1]c(=O)oc2c1CC=C(C)C|COc1ccc2ccc(=O)oc2c1CC=C(C)[CH3:1]|COc1ccc2ccc(=O)oc2c1[CH2:1][CH:1]=[C:1](C)[CH3:1],C=C(C)/C=C/c1c(OC)ccc2ccc(=O)oc12|CC(C)=CCc1c(O)ccc2ccc(=O)oc12|COc1ccc2cc(O)c(=O)oc2c1CC=C(C)C|COc1ccc2ccc(=O)oc2c1C/C=C(\C)CO,4
COc1ccc2ccc(=O)oc2c1CC=C(C)C,CYP2D6,CC(C)=CCc1c([O:1]C)ccc2ccc(=O)oc12|COc1ccc2c[cH:1]c(=O)oc2c1CC=C(C)C|COc1ccc2ccc(=O)oc2c1CC=C(C)[CH3:1]|COc1ccc2ccc(=O)oc2c1[CH2:1][CH:1]=[C:1](C)[CH3:1],C=C(C)/C=C/c1c(OC)ccc2ccc(=O)oc12|CC(C)=CCc1c(O)ccc2ccc(=O)oc12|COc1ccc2cc(O)c(=O)oc2c1CC=C(C)C|COc1ccc2ccc(=O)oc2c1C/C=C(\C)CO,4
COc1ccc2ccc(=O)oc2c1CC=C(C)C,CYP3A4,CC(C)=CCc1c([O:1]C)ccc2ccc(=O)oc12|COc1ccc2ccc(=O)oc2c1CC=C(C)[CH3:1]|COc1ccc2ccc(=O)oc2c1[CH2:1][CH:1]=[C:1](C)[CH3:1],C=C(C)/C=C/c1c(OC)ccc2ccc(=O)oc12|CC(C)=CCc1c(O)ccc2ccc(=O)oc12|COc1ccc2ccc(=O)oc2c1C/C=C(\C)CO,3
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,CYP2C9,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)[CH3:1])cc2)nc(-c2ncccn2)nc1OCCO,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncccn2)nc1OCCO,1
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,CYP3A4,CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccccc2[O:1]C)cc1|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)[CH3:1])cc2)nc(-c2ncccn2)nc1OCCO,CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccccc2O)cc1|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncccn2)nc1OCCO,2
C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12,CYP3A4,C[C@H]1CN[CH2:1]CCN1S(=O)(=O)c1cccc2cncc(F)c12|C[C@H]1C[NH:1][CH2:1]CCN1S(=O)(=O)c1cccc2cncc(F)c12,C[C@H]1CN=CCCN1S(=O)(=O)c1cccc2cncc(F)c12|C[C@H]1CNC(O)CCN1S(=O)(=O)c1cccc2cncc(F)c12,2
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CYP1A2,CN1CCN(C2=Nc3ccccc3Nc3sc([CH3:1])cc32)CC1|Cc1cc2c(s1)Nc1cc[cH:1]cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N:1](C)CC1,CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1|Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1,3
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CYP2C9,CN1CCN(C2=Nc3ccccc3Nc3sc([CH3:1])cc32)CC1|Cc1cc2c(s1)Nc1cc[cH:1]cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N:1](C)CC1,CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1|Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1,3
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CYP2D6,CN1CCN(C2=Nc3ccccc3Nc3sc([CH3:1])cc32)CC1|Cc1cc2c(s1)Nc1cc[cH:1]cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N:1](C)CC1,CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1|Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1,3
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CYP3A4,CN1CCN(C2=Nc3ccccc3Nc3sc([CH3:1])cc32)CC1|Cc1cc2c(s1)Nc1cc[cH:1]cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N:1](C)CC1,CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1|Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1,3
