SMILES,metabolite,predict_site
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1,[CH3:1]CCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1|C1(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)=C(CCCC)OC2=CC=C[CH:1]=C12|C[CH2:1]CCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1|CCCCC1=C(C(=O)C2=CC(I)=C(OCC[N:1](CC)CC)C(I)=C2)C2=CC=CC=C2O1|CCCCC1=C(C(=O)C2=CC(I)=C(OCC[N:1](CC)CC)C(I)=C2)C2=CC=CC=C2O1|CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=[CH:1]C=C2O1|CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)C[CH3:1])C(I)=C2)C2=CC=CC=C2O1|CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C[CH:1]=CC=C2O1|CCC[CH2:1]C1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1|C1(C(C2=C(CCCC)OC3=C2C=C[CH:1]=[CH:2]3)=O)=CC(I)=C(OCCN(CC)CC)C(I)=C1|CC[CH2:1]CC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1|C1(C(C2=[C:1](CCCC)OC3=C2C=CC=C3)=O)=CC(I)=C(OCCN(CC)CC)C(I)=C1|CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)[CH2:1]C)C(I)=C2)C2=CC=CC=C2O1|CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=C[CH:1]=C2O1|CCCCC1=C(C(=O)C2=CC(I)=C(OC[CH2:1]N(CC)CC)C(I)=C2)C2=CC=CC=C2O1|C1(C(C2=C(CCCC)OC3=C2[CH:1]=[CH:2]C=C3)=O)=CC(I)=C(OCCN(CC)CC)C(I)=C1
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1|CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c2n1,C[CH2:1]CSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1|[CH3:1]CCSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1|CCCSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](O[CH2:1]CO)[C@@H](O)[C@H]3O)C2=N1|C12=C(N=NN1[C@H]1[C@H](O)[C@H](O)[C@@H](O[CH2:1]CO)C1)C(N[C@H]1[C@H](C3=CC(F)=C(F)C=C3)C1)=NC(SCCC)=N2|CCC[S:1]C1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1|CCCSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H:1]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1|CCCSC1=NC(N[C@@H:1]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1|O([C@@H]1[C@@H](O)[C@@H](O)[C@H](N2N=NC3=C2N=C(SCCC)N=C3N[C@H]2[C@H](C3=CC(F)=C(F)C=C3)C2)[CH2:1]1)CCO|CC[CH2:1]SC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1|C12=C(N=NN1[C@H]1[C@H](O)[C@H](O)[C@@H](O[CH2:1]CO)C1)C(N[C@H]1[C@H](C3=CC(F)=C(F)C=C3)C1)=NC(SCCC)=N2|N1([C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)N=NC2=C(N[C@@H]3C[C@H]3C3=CC(F)=C(F)C=C3)N=C(SC[CH2:1]C)N=C12|O([C@@H]1[C@@H](O)[C@@H](O)[C@H](N2N=NC3=C2N=C(SCCC)N=C3N[C@H]2[C@H](C3=CC(F)=C(F)C=C3)C2)[CH2:1]1)CCO|C12=C(N=NN1[C@H]1[C@H](O)[C@H](O)[C@@H](OCCO)C1)C(N[C@H]1[C@H](C3=CC(F)=C(F)C=[CH:1]3)C1)=NC(SCCC)=N2|[C@H]1(O)[C@H](N2N=NC3=C(N[C@@H]4C[C@H]4C4=CC(F)=C(F)C=C4)N=C(SCC[CH3:1])N=C23)C[C@H](OCCO)[C@H]1O|N1([C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)N=NC2=C(N[C@@H]3C[C@H]3C3=CC(F)=C(F)C=C3)N=C(SCC[CH3:1])N=C12|N1([C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)N=NC2=C(N[C@@H]3C[C@H]3C3=CC(F)=C(F)C=C3)N=C(SC[CH2:1]C)N=C12|CCCSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](O[CH2:1]CO)[C@@H](O)[C@H]3O)C2=N1|O([C@@H]1[C@@H](O)[C@@H](O)[C@H](N2N=NC3=C2N=C(SCCC)N=C3N[C@H]2[C@H](C3=CC(F)=C(F)C=C3)C2)[CH2:1]1)CCO
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,CCC[C@H]1CN[C@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](S(C)=O)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|[C@@H]1(O)[C@H](O)[C@@H](O)[C@@H](SC)O[C@@H]1C(NC(=O)[C@H]1N(C)C[C@H](CCC)C1)[CH:1](C)Cl|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|CC(Cl)C([C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](SC)O1)NC([C@H]1N(C)C[C@H]([CH2:1]CC)C1)=O|N1(C)C[C@H](CCC)C[C@H]1C(=O)NC([C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@@H](SC)O1)C(Cl)[CH3:1]|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|[C@@H:1]1(SC)[C@H](O)[C@@H](O)[C@@H](O)[C@@H](C(NC(=O)[C@H]2N(C)C[C@H](CCC)C2)C(Cl)C)O1|[C@@H]1(O)[C@H](O)[C@@H](O)[C@@H](SC)O[C@@H]1C(NC(=O)[C@H]1N(C)C[C@H](CCC)C1)[CH:1](C)Cl|[C@H]1(C(=O)NC([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)C(Cl)C)N(C)C[C@H](C[CH2:1]C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CCNCCNC(=O)c1cc(Cl)c(N)cc1OC|CCN(CC)CCNC(=O)c1cc(Cl)c([N+](=O)[O-])cc1OC,CC[N:1](CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC|CC[N:1](CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC|C(N(CC)CCNC(C1=CC(Cl)=C([NH2:1])C=C1OC)=O)C|CCN(C[CH3:1])CCNC(=O)C1=CC(Cl)=C(N)C=C1OC|CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)[CH:1]=C1OC|C(N(CC)CCNC(C1=CC(Cl)=C([NH2:1])C=C1OC)=O)C|CCN(CC)CCNC(=O)C1=CC(Cl)=C([NH2:1])C=C1OC|CCN([CH2:1]C)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC|CCN(CC)CCNC(=O)C1=[CH:1]C(Cl)=C(N)C=C1OC|CCN(CC)[CH2:1]CNC(=O)C1=CC(Cl)=C(N)C=C1OC|C1=C(OC)C([C:1](=O)NCCN(CC)CC)=CC(Cl)=C1N|CCN(CC)[CH2:1]CNC(=O)C1=CC(Cl)=C(N)C=C1OC|C1=C(OC)C(C(=O)NCCN(CC)CC)=CC(Cl)=C1[NH2:1]|C1(C(=O)NCCN(CC)CC)=C(OC)C=C(N)[C:1](Cl)=C1
CCN(CC)CCOC(=O)c1ccc(N)cc1,CCN(CC)CCO|Nc1ccc(C(=O)O)cc1,CCN(CC)CCOC(=O)C1=CC=C([NH2:1])C=C1|CCN(CC)CCOC(=O)C1=CC=C([NH2:1])C=C1|N(CC)(CCOC(C1=CC=C(N)[CH:1]=C1)=O)CC|CC[N:1](CC)CCOC(=O)C1=CC=C(N)C=C1|CC[N:1](CC)CCOC(=O)C1=CC=C(N)C=C1|C1([NH2:1])=CC=C(C(OCCN(CC)CC)=O)C=C1|CCN(CC)CCOC(=O)C1=CC=C([NH2:1])C=C1|CCN(CC)CCOC(=O)C1=CC=C([NH2:1])C=C1|N(CC)(CCOC(C1=CC=C([NH2:1])C=C1)=O)CC|CCN(CC)[CH2:1]COC(=O)C1=CC=C(N)C=C1|N(CC)(C[CH2:1]OC(C1=CC=C(N)C=C1)=O)CC|N(CCOC(C1=CC=C([NH2:1])C=C1)=O)(CC)CC|N(CCOC(C1=CC=C([NH2:1])C=C1)=O)(CC)CC|N(CCOC(C1=CC=C([NH2:1])C=C1)=O)(CC)CC|C1=CC(C(=O)OCCN(CC)CC)=CC=C1[NH2:1]|CCN(CC)[CH2:1]COC(=O)C1=CC=C(N)C=C1|C1(N)=CC=C(C(OCCN(CC)CC)=O)[CH:1]=C1|N(CC)(CCOC(C1=CC=C(N)C=C1)=O)C[CH3:1]
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN4CCOCC4)cc3)cc(NC3CCOCC3)c2C)c(=O)[nH]1,CCN(C1=CC(C2=CC=C(CN3CCOCC3)C=C2)=CC(C(=O)N[CH2:1]C2=C(C)C=C(C)NC2=O)=C1C)C1CCOCC1|CCN(C1=CC(C2=CC=C(CN3CCOCC3)C=C2)=CC(C(=O)NCC2=C(C)C=C(C)NC2=O)=C1C)[CH:1]1CCOCC1|CCN(C1=CC(C2=CC=C(CN3CCO[CH2:1]C3)C=C2)=CC(C(=O)NCC2=C(C)C=C(C)NC2=O)=C1C)C1CCOCC1|CCN(C1=CC(C2=CC=C(CN3CCOC[CH2:1]3)C=C2)=CC(C(=O)NCC2=C(C)C=C(C)NC2=O)=C1C)C1CCOCC1|CCN(C1=CC(C2=CC=C(CN3CCOC[CH2:1]3)C=C2)=CC(C(=O)NCC2=C(C)C=C(C)NC2=O)=C1C)C1CCOCC1|CCN(C1=CC(C2=CC=C(CN3CCOCC3)C=C2)=CC(C(=O)NCC2=C(C)C=C([CH3:1])NC2=O)=C1C)C1CCOCC1|CCN(C1=CC(C2=CC=C(CN3CCOCC3)C=C2)=CC(C(=O)NCC2=C(C)C=C(C)NC2=O)=C1C)C1CCOC[CH2:1]1|O1CCN(CC2=CC=C(C3=CC(N(C4CCOCC4)CC)=C(C)C(C(=O)NCC4=C(C)C=C(C)NC4=O)=C3)C=C2)C[CH2:1]1|CCN(C1=CC(C2=CC=C(CN3CCOCC3)C=C2)=CC(C(=O)NCC2=C(C)C=C(C)NC2=O)=C1C)C1CCO[CH2:1]C1|N(CC1=C(C)C=C(C)NC1=O)C(=O)C1=C(C)C(N(CC)C2CCOCC2)=CC(C2=CC=C([CH2:1]N3CCOCC3)C=C2)=C1|CCN(C1=CC(C2=CC=C(CN3CCOCC3)C=C2)=CC(C(=O)NCC2=C(C)C=C(C)NC2=O)=C1C)C1CCOC[CH2:1]1|N(CC1=C(C)C=C(C)NC1=O)C(=O)C1=C(C)C(N(CC)C2CCOCC2)=CC(C2=CC=C(CN3CCO[CH2:1]C3)C=C2)=C1|N(CC1=C(C)C=C(C)NC1=O)C(=O)C1=C(C)C(N(CC)C2CCOCC2)=CC(C2=CC=C(CN3CCO[CH2:1]C3)C=C2)=C1|[N:1]1(CC2=CC=C(C3=CC(C(NCC4=C(C)C=C(C)NC4=O)=O)=C(C)C(N(CC)C4CCOCC4)=C3)C=C2)CCOCC1|[N:1]1(CC2=CC=C(C3=CC(C(NCC4=C(C)C=C(C)NC4=O)=O)=C(C)C(N(CC)C4CCOCC4)=C3)C=C2)CCOCC1|CCN(C1=CC(C2=CC=C(CN3CCOCC3)C=C2)=CC(C(=O)NCC2=C([CH3:1])C=C(C)NC2=O)=C1C)C1CCOCC1|CCN(C1=CC(C2=CC=C(CN3CCOCC3)C=C2)=CC(C(=O)NCC2=C(C)[CH:1]=C(C)NC2=O)=C1C)C1CCOCC1|O1CCN(CC2=CC=C(C3=CC(N(C4CCO[CH2:1]C4)CC)=C(C)C(C(=O)NCC4=C(C)C=C(C)NC4=O)=C3)C=C2)CC1|O1CCN(CC2=CC=C(C3=CC(N(C4CCO[CH2:1]C4)CC)=C(C)C(C(=O)NCC4=C(C)C=C(C)NC4=O)=C3)C=C2)CC1|O1CCN(CC2=CC=C(C3=CC(N(C4CCO[CH2:1]C4)CC)=C(C)C(C(=O)NCC4=C(C)C=C(C)NC4=O)=C3)C=C2)CC1
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,C[C@H]1C[C@H](N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,CCN[C@H]1C[C@H]([CH3:1])S(=O)(=O)C2=C1C=C(S(N)(=O)=O)S2|[CH3:1]CN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S(N)(=O)=O)S2|CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C([S:1](N)(=O)=O)S2|C[CH2:1]N[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S(N)(=O)=O)S2|CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S([NH2:1])(=O)=O)S2|NS(=O)(C1=CC2=C(S1)S(=O)(=O)[C@@H:1](C)C[C@@H]2NCC)=O|CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S([NH2:1])(=O)=O)S2|CCN[C@H:1]1C[C@H](C)S(=O)(=O)C2=C1C=C(S(N)(=O)=O)S2|CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1[CH:1]=[C:2](S(N)(=O)=O)S2|[C@@H]1(NCC)C2=C(SC(S(=O)(=O)N)=C2)S(=O)(=O)[C@@H](C)[CH2:1]1|[C@@H]1(NCC)C2=C(SC(S(=O)(=O)N)=C2)S(=O)(=O)[C@@H:1](C)C1|[NH:1]([C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S(N)(=O)=O)S2)CC|[C@@H]1([NH:1]CC)C2=C(SC(S(=O)(=O)N)=C2)S(=O)(=O)[C@@H](C)C1|CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S([NH2:1])(=O)=O)S2|CCN[C@H:1]1C[C@H](C)S(=O)(=O)C2=C1C=C(S(N)(=O)=O)S2
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)CC)C1=CC=CC=C1[CH2:1]C2|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)CC)C1=CC=CC=C1C[CH2:1]2|CCOC(=O)NC1=CC=C2C(=C1)N([C:1](=O)CN(CC)CC)C1=CC=CC=C1CC2|[CH3:1]COC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)CC)C1=CC=CC=C1CC2|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)CC)C1=CC=[CH:1]C=C1CC2|C1=C(NC(=O)OCC)[CH:1]=C2C(=C1)CCC1=CC=CC=C1N2C(=O)CN(CC)CC|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)C[CH3:1])C1=CC=CC=C1CC2|[CH2:1]1C2=C(C=C(NC(OCC)=O)C=C2)N(C(CN(CC)CC)=O)C2=CC=CC=C2C1|[CH:1]1=C(NC(=O)OCC)C=C2C(=C1)CCC1=CC=CC=C1N2C(=O)CN(CC)CC
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccc(O)cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12|CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12|CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CO)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(CN(C)C)c12|CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C([OH:1])C(CN(C)C)=C12|CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C([OH:1])C(CN(C)C)=C12|CCOC(=O)C1=C(C[S:1]C2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(CN(C)C)=C12|CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C([OH:1])C(CN(C)C)=C12|CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C([CH2:1]N(C)C)=C12|CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(C[N:1](C)C)=C12|CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(C[N:1](C)C)=C12|CCOC(=O)C1=C(C[S:1]C2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(CN(C)C)=C12|CCOC(=O)C1=C(C[S:1]C2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(CN(C)C)=C12|CCOC(=O)C1=C(CSC2=CC=[CH:1]C=C2)N(C)C2=CC(Br)=C(O)C(CN(C)C)=C12|N1(C)C([CH2:1]SC2=CC=CC=C2)=C(C(=O)OCC)C2=C1C=C(Br)C(O)=C2CN(C)C|CCOC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C([OH:1])C(CN(C)C)=C12|[CH3:1]COC(=O)C1=C(CSC2=CC=CC=C2)N(C)C2=CC(Br)=C(O)C(CN(C)C)=C12|[CH2:1](C1=C(C(=O)OCC)C2=C(CN(C)C)C(O)=C(Br)C=C2N1C)SC1=CC=CC=C1|C([C:1]1=[C:2](C(=O)OCC)C2=C(CN(C)C)C(O)=C(Br)C=C2N1C)SC1=CC=CC=C1
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,N=C(N)Nc1ccc(C(=O)Oc2ccc(CC(=O)O)cc2)cc1,C(OCC(=O)N(C)C)(CC1=CC=C(O[C:1](=O)C2=CC=C(NC(=N)N)C=C2)C=C1)=O|CN(C)[C:1](=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(=N)N)C=C2)C=C1|C(N(C)C)(=O)COC(CC1=CC=C(OC(C2=CC=C(NC(N)=N)C=C2)=O)C=[CH:1]1)=O|CN(C)[C:1](=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(=N)N)C=C2)C=C1|CN(C)C(=O)COC(=O)CC1=CC=C(O[C:1](=O)C2=CC=C(NC(=N)N)C=C2)C=C1|C(N(C)C)(=O)COC(CC1=CC=C(OC(C2=CC=C(NC(N)=N)C=C2)=O)[CH:1]=C1)=O|C(=O)(OC1=CC=C(CC(OCC(=O)N(C)C)=O)C=C1)C1=CC=C(NC(N)=[NH:1])C=C1|C(=O)(OC1=CC=C(CC(OCC(=O)N(C)[CH3:1])=O)C=C1)C1=CC=C(NC(N)=N)C=C1|C(=O)(OC1=CC=C(CC(OCC(=O)N(C)C)=O)C=C1)C1=CC=C(N[C:1](N)=N)C=C1
CN(C)CCCN1c2ccccc2CCc2ccccc21,CNCCCN1c2ccccc2CCc2ccccc21|NCCCN1c2ccccc2CCc2ccccc21|c1ccc2c(c1)CCc1ccccc1N2|CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21|C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21,C(N1C2=C(C=C[CH:1]=[CH:2]2)CCC2=CC=CC=C12)CCN(C)C|CN(C)CCCN1C2=CC=CC=C2C[CH2:1]C2=CC=CC=C12|CN(C)CCCN1C2=CC=CC=C2CCC2=CC=[CH:1]C=C12|CN(C)CCCN1C2=CC=CC=C2CCC2=C[CH:1]=CC=C12|C(N1C2=C([CH:1]=[CH:2]C=C2)CCC2=CC=CC=C12)CCN(C)C|C1C2=C(C=CC=C2)N(CCCN(C)C)C2=C(C=CC=C2)[CH2:1]1|C(N(C)C)CCN1C2=C(C=CC=[CH:1]2)CCC2=CC=CC=C12|C[N:1](C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12|C[N:1](C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12|CN(C)CCCN1C2=CC=CC=C2CCC2=[CH:1]C=CC=C12|C(N1C2=C(C=CC=C2)C[CH2:1]C2=CC=CC=C12)CCN(C)C|C(N1C2=C(C=C[CH:1]=C2)CCC2=CC=CC=C12)CCN(C)C|C(N1C2=C(C=C[CH:1]=C2)CCC2=CC=CC=C12)CCN(C)C|C(N1C2=C(C=C[CH:1]=[CH:1]2)CCC2=CC=CC=C12)CCN(C)C|CN(C)CCCN1C2=CC=CC=C2C[CH2:1]C2=CC=CC=C12|C(N1C2=C(C=C[CH:1]=C2)CCC2=CC=CC=C12)CCN(C)C|C(N1C2=C(C=C[CH:1]=[CH:1]2)CCC2=CC=CC=C12)CCN(C)C
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CN(C)c1cc(O)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(N(C)C)c4C[C@H]3C[C@@H]12|CNc1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CN(C)C1=CC=C([OH:1])C2=C1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN(C)C1=C[CH:1]=C(O)C2=C1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN(C)C1=CC=C([OH:1])C2=C1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|C1(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C1=O)C(=O)C1=C(O)C=[CH:1]C(N(C)C)=C1C3|C1([C:1](N)=O)=C(O)[C@@H](N(C)C)[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C1=O)C(=O)C1=C(O)C=CC(N(C)C)=C1C3
