substrate,site_truth,site_count
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[N:1](CC)CC)c(I)c1,1
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H]([O:1]CCO)[C@@H](O)[C@H]3O)c2n1|CCCSc1nc([NH:1][C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,2
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[N:1](C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,2
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CCN(CC)CCNC(=O)c1cc(Cl)c([NH2:1])cc1OC|CC[N:1](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,2
CCN(CC)CCOC(=O)c1ccc(N)cc1,CCN(CC)CC[O:1]C(=O)c1ccc(N)cc1|CC[N:1](CC)CC[O:1]C(=O)c1cc[c:1](N)cc1,2
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CC[N:1](c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,1
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CC[NH:1][C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[N:1](CC)CC)c1ccccc1CC2,1
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2cc[cH:1]cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)[c:1]([OH:1])c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(C[N:1](C)C)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c([OH:1])c(CN(C)C)c12|CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(C[N:1](C)C)c12|CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c([OH:1])c(CN(C)C)c12,8
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,CN(C)C(=O)C[O:1]C(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,1
CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2c[cH:1]ccc21|CN(C)CCC[N:1]1c2ccccc2CCc2ccccc21|C[N:1](C)CCCN1c2ccccc2CCc2ccccc21,3
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc([N:1](C)C)c4C[C@H]3C[C@@H]12|CN(C)c1c[cH:1]c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H]([N:1](C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,3
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CN1CCc2cccc3c2[C@H]1C[c:1]1[cH:1][cH:1][c:1]([OH:1])[c:1]([OH:1])[c:1]1-3|CN1CCc2cccc3c2[C@H]1Cc1ccc(O)[c:1]([OH:1])c1-3|CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c([OH:1])c1-3|CN1CCc2cccc3c2[C@H]1Cc1ccc([OH:1])c(O)c1-3|C[N:1]1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,5
CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21,CN1c2ccccc2C(=O)N2CCc3c([nH]c4cc[cH:1]cc34)C21|CN1c2ccccc2C(=O)N2C[CH2:1]c3c([nH]c4ccccc34)C21,2
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3cccc[n:1]3)n[nH]c2c1|CNC(=O)c1ccccc1Sc1ccc2c(/[CH:1]=[CH:1]/c3ccccn3)n[nH]c2c1|CNC(=O)c1ccccc1[S:1]c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|O=C(N[CH3:1])c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,4
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CNCC[C@@H](Oc1cc[cH:1]cc1C)c1ccccc1|CNCC[C@@H](Oc1ccccc1[CH3:1])c1ccccc1|Cc1ccccc1O[C@H](CC[NH:1]C)c1ccccc1,3
CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,CN[CH2:1]c1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1|C[NH:1]Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1|C[NH:1][CH2:1]c1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,3
CN[C@@H](C)[C@@H](O)c1ccccc1,C[C@@H]([C@@H](O)c1ccccc1)[NH:1]C,1
CN[C@@H](C)[C@H](O)c1ccccc1,CN[C@@H](C)[C@H](O)c1ccccc1|C[C@@H]([C@H](O)c1ccccc1)[NH:1]C,2
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)[CH3:1],1
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,COc1cc(Cc2c[n:1]c(N)nc2N)cc(OC)c1OC|COc1cc(Cc2cnc(N)[n:1]c2N)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(OC)c1[O:1]C|COc1cc(Cc2cnc(N)nc2N)cc([O:1]C)c1OC|COc1cc([CH2:1]c2cnc(N)nc2N)cc(OC)c1OC,5
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,COc1cc2c(cc1C(N)=O)c(Oc1ccc(NC(=O)NC3CC3)c(Cl)c1)cc[n:1]2|C[O:1]c1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,2
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,CC(Cc1ccc([O:1]C)cc1)NCC(O)c1ccc(O)c(NC=O)c1|COc1ccc(CC(C)NCC(O)c2ccc(O)c([NH:1]C=O)c2)cc1|COc1ccc(CC(C)NCC(O)c2ccc([OH:1])c(NC=O)c2)cc1|COc1ccc(CC(C)NCC(c2ccc(O)c(NC=O)c2)[OH:1])cc1,4
COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)c[cH:1]1|COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3[CH2:1][CH:1]2C(N)=O)cc1|C[O:1]c1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,3
COc1ccc2ccc(=O)oc2c1CC=C(C)C,CC(C)=CCc1c([O:1]C)ccc2ccc(=O)oc12|COc1cc[c:1]2[cH:1][cH:1][c:1](=O)[o:1][c:1]2c1CC=C(C)C|COc1ccc2c[cH:1]c(=O)oc2c1CC=C(C)C|COc1ccc2ccc(=O)oc2c1CC=C(C)[CH3:1]|COc1ccc2ccc(=O)oc2c1[CH2:1][CH:1]=[C:1](C)[CH3:1],5
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccccc2[O:1]C)cc1|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)[CH3:1])cc2)nc(-c2ncccn2)nc1OCCO,2
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc([O:1]Cc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CC[NH:1]Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,2
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,C[C@H](c1c(Cl)ccc(F)c1Cl)[O:1]c1cc(-c2cnn(C3CCNCC3)c2)cnc1N,1
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,C[C@@H]1CC[C@H]2[C@@H](C)[C@H]([O:1]C(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,1
C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,CC(C)(C)N[C@H](C(=O)c1cccc(Cl)c1)[CH3:1]|C[C@H](NC(C)(C)C)C(=O)c1cc(Cl)c[cH:1]c1|C[C@H](NC(C)(C)C)C(=O)c1cc[cH:1]c(Cl)c1|C[C@H](NC(C)(C)[CH3:1])C(=O)c1cccc(Cl)c1|C[C@H](NC(C)(C)[CH3:1])[C:1](c1cccc(Cl)c1)=[O:1],5
C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12,C[C@H]1CN[CH2:1]CCN1S(=O)(=O)c1cccc2cncc(F)c12|C[C@H]1C[NH:1][CH2:1]CCN1S(=O)(=O)c1cccc2cncc(F)c12,2
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,C[C@H]1COc2c(N3CC[N:1](C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)C[O:1]P(=O)(O)O,1
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,C[C@]12C=CC(=O)C(Cl)=C1CC[C@@H]1[C@H]3CC[C@](C)(O)[C@]3(C)C[CH2:1][C@H]12,1
Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1|Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CC[S:1]C4)C3)CC2)n(-c2ccccc2)n1|O=C([C@@H]1C[C@@H](N2CCN(c3cc([CH3:1])nn3-c3ccccc3)CC2)CN1)N1CCSC1,3
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CN1CCN(C2=Nc3ccccc3Nc3sc([CH3:1])cc32)CC1|Cc1cc2c(s1)Nc1cc[cH:1]cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N:1](C)CC1|Cc1cc2c(s1)[NH:1]c1ccccc1N=C2N1CCN(C)CC1,4
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2C)c1,CC1CCN(c2nc3cc(Cl)ccc3o2)CCN1C(=O)c1cc([CH3:1])ccc1-n1nccn1|Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)[cH:1]cc4o3)CCC2C)c1|Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2[CH3:1])c1,3
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)[cH:1]c3)cc2)cc1|O=C(/C=C/c1ccc(O)cc1)c1ccc(NS(=O)(=O)c2ccc([CH3:1])cc2)cc1,2
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1C(=O)NCC[CH2:1]1|Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CC[CH2:1]NC1=O,2
Clc1ccc(CCCOCCCN2CCCCC2)cc1,Clc1ccc(CCCOCCC[N:1]2CCCCC2)cc1|Clc1ccc(CCCOCCC[N:1]2CCCC[CH2:1]2)cc1,2
Clc1ccccc1CN1CCc2sccc2C1,Clc1ccccc1CN1CC[c:1]2[s:1][cH:1][cH:1][c:1]2C1|Clc1ccccc1CN1CC[c:1]2[s:1][cH:1][cH:1][c:1]2[CH2:1]1|Clc1ccccc1CN1CCc2s[cH:1]cc2C1|Clc1ccccc1CN1Cc2ccsc2[CH2:1]C1|Clc1ccccc1CN1Cc2ccsc2[CH2:1][CH2:1]1|Clc1ccccc1C[N:1]1CCc2sccc2C1,6
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(n[cH:1]n2C)n(C)c1=O|Cn1c(=O)c2c(nc[n:1]2C)n(C)c1=O|Cn1c(=O)c2c(ncn2C)[n:1](C)c1=O|Cn1cnc2c1c(=O)[n:1](C)c(=O)n2C,4
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,C[n:1]1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1|Cn1nnc(-c2ccc(-c3ccc(N4C[C@H]([CH2:1]O)OC4=O)cc3F)cn2)n1|Cn1nnc(-c2ccc(-c3ccc(N4C[C@H]([CH2:1][OH:1])OC4=O)cc3F)cn2)n1|Cn1nnc(-c2ccc(-c3ccc([N:1]4C[C@H:1](C[OH:1])[O:1]C4=O)cc3F)cn2)n1,4
NC(=O)c1cn(Cc2c(F)cccc2F)nn1,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,1
NC(=O)c1nc(F)cnc1O,NC(=O)c1nc(F)[cH:1]nc1O,1
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,NC(N)=Nc1nc(C[S:1]CCC(N)=NS(N)(=O)=O)cs1,1
N[C@@H](Cc1cc(O)c(O)cc1[18F])C(=O)O,N[C@@H:1](Cc1cc(O)c(O)cc1[18F])C(=O)O,1
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,O=C(c1ccc2cncn2c1Nc1ccc(I)cc1F)[NH:1]OCCO|O=[C:1]([NH:1]OCCO)[c:1]1ccc2cncn2[c:1]1[NH:1]c1ccc(I)cc1F,2
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(C(Cl)Cl)[NH:1][C@H](CO)[C@H](O)c1ccc([N+:1](=O)[O-])cc1|O=C(C(Cl)Cl)[NH:1][C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1|O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)[CH:1](Cl)Cl|O=C(N[C@H](C[OH:1])[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,4
O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,O=C(O)CCC(=O)[O:1]C[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,1
O=C(O)c1cc(O)c2c(c1)C(C1c3cc(C(=O)O)cc(O)c3C(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cccc31)c1cccc(OC3OC(CO)C(O)C(O)C3O)c1C2=O,O=C(O)c1cc(O)c2c(c1)C(C1c3cc(C(=O)O)cc(O)c3C(=O)c3c1cccc3[O:1]C1OC(CO)C(O)C(O)C1O)c1cccc([O:1]C3OC(CO)C(O)C(O)C3O)c1C2=O,1
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Clc1ccc2c(c1)C(c1ccccc1)=NC[C:1](=[O:1])N2|O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[CH2:1]1,2
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,Clc1ccc2c(c1)C(c1ccccc1)=NC([OH:1])[C:1](=[O:1])[NH:1]2,1
O=P1(NCCCl)OCCCN1CCCl,O=P1(NCCCl)OCCC[N:1]1CCCl|O=P1(NCCCl)OCC[CH2:1]N1CCCl|O=P1(NC[CH2:1]Cl)N(CCCl)CC[CH2:1][O:1]1|O=P1([NH:1]CCCl)OCCCN1CCCl,4
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O[CH2:1]COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1
