SMILES,metabolite,predict
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[N:1](CC)CC)c(I)c1|CCN(CC)CCOc1c(I)cc(C(=O)c2c(CC[CH2:1]C)oc3ccccc23)cc1I|CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)[cH:1]1|CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)[c:1](I)c1|CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)C[CH3:1])c(I)c1|CCCCc1oc2c[cH:1]ccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1|CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)[CH2:1]C)c(I)c1|CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OC[CH2:1]N(CC)CC)c(I)c1|CCN(CC)CCOc1c(I)cc(C(=O)c2c(CCC[CH3:1])oc3ccccc23)cc1I|CCN(CC)CCOc1c(I)cc(C(=O)c2c([CH2:1]CCC)oc3ccccc23)cc1I
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1|CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H]([O:1]CCO)[C@@H](O)[C@H]3O)c2n1|CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OC[CH2:1]O)[C@@H](O)[C@H]3O)c2n1|CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OC[CH2:1][OH:1])[C@@H](O)[C@H]3O)c2n1|CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCC[OH:1])[C@@H](O)[C@H]3O)c2n1|CCC[S:1]c1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1|C[CH2:1]CSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1|CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nn[n:1]([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1|CC[CH2:1]Sc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1|CCCSc1nc([NH:1][C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1|CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OC[CH2:1]O)[C@@H]([OH:1])[C@H]3O)c2n1
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,CCC[C@H]1CN[C@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](S(C)=O)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[N:1](C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H]([OH:1])[C@@H](O)[C@H]2O)N(C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2[OH:1])N(C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H]([OH:1])[C@H]2O)N(C)C1|CCC[C@@H]1C[C@@H]([C:1](=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)[CH2:1]1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](S[CH3:1])[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|CCC[C@@H]1C[C@@H](C(=O)[NH:1]C(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1|CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H:1](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CCNCCNC(=O)c1cc(Cl)c(N)cc1OC|CCN(CC)CCNC(=O)c1cc(Cl)c([N+](=O)[O-])cc1OC,CCN(CC)CCNC(=O)c1cc(Cl)c([NH2:1])cc1OC|CCN(CC)CCNC(=O)c1cc(Cl)c(N)[cH:1]c1OC|CC[N:1](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC|CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1[O:1]C|CCN(CC)CC[NH:1]C(=O)c1cc(Cl)c(N)cc1OC|CCN(CCNC(=O)c1cc(Cl)c(N)cc1[O:1]C)CC|CCN(CCNC(=O)c1cc(Cl)c(N)cc1OC)[CH2:1]C|CCN(CCNC(=O)c1cc(Cl)c(N)cc1OC)C[CH3:1]|COc1cc(N)c(Cl)cc1C(=O)NCCN(C[CH3:1])CC|CCN(CC)CCNC(=O)c1c(OC)cc(N)c(Cl)[cH:1]
CCN(CC)CCOC(=O)c1ccc(N)cc1,CCN(CC)CCO|Nc1ccc(C(=O)O)cc1,CCN(CC)CCOC(=O)c1ccc([NH2:1])cc1|CC[N:1](CC)CCOC(=O)c1ccc(N)cc1|CCN(CC)CC[O:1]C(=O)c1ccc(N)cc1|CCN(CC)CCOC(=O)c1ccc(N)[cH:1]c1|CCN(CC)C[CH2:1][O:1]C(=O)c1ccc(N)cc1|CC[N:1](CC)CC[O:1]C(=O)c1ccc(N)cc1|CCN(CC)[CH2:1]COC(=O)c1ccc(N)cc1|CCN(CC)C[CH2:1]OC(=O)c1ccc(N)cc1|CC[N:1](CC)CCOC(=O)c1cc[c:1](N)cc1|CCN(CCOC(=O)c1ccc(N)cc1)[CH2:1]C
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN4CCOCC4)cc3)cc(NC3CCOCC3)c2C)c(=O)[nH]1,CC[N:1](c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1|CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCO[CH2:1]C1|CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CC[O:1]CC1|CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc([CH3:1])[nH]c2=O)c1C)C1CCOCC1|CCN(c1cc(-c2ccc(CN3CCOC[CH2:1]3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1|CCN(c1cc(-c2ccc([CH2:1]N3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1|CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH:1]c2=O)c1C)C1CCOCC1|CCN(c1cc(-c2ccc(CN3CCO[CH2:1]C3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1|CCN(c1cc(-c2ccc(C[N:1]3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1|CCN(c1cc(-c2ccc(CN3CC[O:1][CH2:1]C3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,C[C@H]1C[C@H](N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,CC[NH:1][C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21|CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(=O)(=O)[NH2:1])cc21|C[C@H]1C[C@H](N[CH2:1]C)c2cc(S(N)(=O)=O)sc2S1(=O)=O|C[C@@H]1C[C@H](N[CH2:1]C)c2cc(S(N)(=O)=O)sc2S1(=O)=O|CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc([S:1](N)(=O)=O)cc21|CCN[C@H]1C[C@H]([CH3:1])S(=O)(=O)c2sc(S(N)(=O)=O)cc21|CCN[C@H:1]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21|C[C@H]1C[C@H](NC[CH3:1])c2cc(S(N)(=O)=O)sc2S1(=O)=O|NS(=O)(=O)c1cc2c(s1)S(=O)(=O)[C@@H](C)C[C@@H]2N[CH2:1][CH3:1]|C[CH2:1]N[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[N:1](CC)CC)c1ccccc1CC2|CCOC(=O)[NH:1]c1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2|CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1cc[cH:1]cc1CC2|CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)C[CH3:1])c1ccccc1CC2|CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1[CH2:1]C2|CCOC(=O)Nc1cc2c(c[cH:1]1)CCc1ccccc1N2C(=O)CN(CC)CC|CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)[O:1]CC)cc21|CCOC(=O)Nc1ccc2c(c1)[N:1](C(=O)CN(CC)CC)c1ccccc1CC2|CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)OC[CH3:1])cc21|CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccc[cH:1]c1CC2
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccc(O)cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12|CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12|CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CO)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(CN(C)C)c12|CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c([OH:1])c(CN(C)C)c12|CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CC[O:1]C(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(C[N:1](C)C)c12|CCOC(=O)c1c([CH2:1]Sc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2cc[cH:1]cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CC[O:1]C(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccccc2)[n:1](C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2cccc[cH:1]2)n(C)c2cc(Br)c(O)c(CN(C)C)c12|CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)[CH3:1])c12
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,N=C(N)Nc1ccc(C(=O)Oc2ccc(CC(=O)O)cc2)cc1,CN(C)C(=O)C[O:1]C(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1|C[N:1](C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1|CN(C)[C:1](=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1|CN(C)[C:1](=O)C[O:1]C(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1|CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N[C:1](=[NH:1])[NH2:1])cc2)cc1|CN(C)C(=O)COC(=O)Cc1ccc([O:1]C(=O)c2ccc(NC(=N)N)cc2)cc1|CN(C)C(=O)COC(=O)[CH2:1]c1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1|C[N:1](C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N[C:1](=[NH:1])[NH2:1])cc2)cc1|CN(C)[C:1](=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(N)=[NH:1])cc2)cc1|CN(C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(N)=[NH:1])cc2)cc1)[CH3:1]
CN(C)CCCN1c2ccccc2CCc2ccccc21,CNCCCN1c2ccccc2CCc2ccccc21|NCCCN1c2ccccc2CCc2ccccc21|c1ccc2c(c1)CCc1ccccc1N2|CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21|C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21,C[N:1](C)CCCN1c2ccccc2CCc2ccccc21|CN(C)CCCN1c2ccccc2CCc2c[cH:1]ccc21|CN(C)CCCN1c2ccccc2C[CH2:1]c2ccccc21|CN(C)CCCN1c2cc[cH:1]cc2CCc2ccccc21|CN(C)[CH2:1]CCN1c2ccccc2CCc2ccccc21|CN(C)CCCN1c2c[cH:1]ccc2CCc2ccccc21|CN(C)CCCN1c2ccccc2[CH2:1]Cc2ccccc21|CN(C)CCCN1c2ccccc2CC[c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]21|CN(C)CCCN1c2ccccc2CCc2cc[cH:1]cc21|CN(C)CCCN1c2ccc[cH:1]c2CCc2ccccc21
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CN(C)c1cc(O)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(N(C)C)c4C[C@H]3C[C@@H]12|CNc1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H]([N:1](C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN(C)c1c[cH:1]c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN(C)c1ccc([OH:1])c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN(C)c1c[cH:1]c(O)c2c1C[C@H]1C[C@H]3[C@H]([N:1](C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)[C:1]([OH:1])=[C:1]1[C:1]2=[O:1]|CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)[C:1]([OH:1])=[C:1]1C2=O|CN(C)c1ccc([OH:1])c2c1C[C@H]1C[C@H]3[C@H]([N:1](C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN(C)c1ccc(O)c2c1[CH2:1][C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C([OH:1])=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O|CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)[C:1]([OH:1])=[C:1]1[C:1]2=O
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CN1CCc2cccc3c2[C@H]1Cc1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1-3|Oc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)NCC3|CN1CCc2cccc3c2[C@H]1CC1=C3C(=O)C(=O)C=C1|CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1-3|COc1c(O)ccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3|COc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)N(C)CC3,CN1CCc2cccc3c2[C@H]1Cc1ccc([OH:1])c(O)c1-3|CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c([OH:1])c1-3|C[N:1]1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3|CN1CCc2cccc3c2[C@H]1C[c:1]1[cH:1][cH:1][c:1]([OH:1])[c:1]([OH:1])[c:1]1-3|CN1CCc2cccc3c2[C@H]1Cc1ccc(O)[c:1](O)c1-3|CN1CCc2cccc3c2[C@H]1Cc1cc[c:1](O)c(O)c1-3|CN1CCc2cccc3c2[C@H]1Cc1c[cH:1]c(O)c(O)c1-3|C[N:1]1[CH2:1][CH2:1][c:1]2cccc3[c:1]2[C@H:1]1Cc1ccc(O)c(O)c1-3|CN1CCc2cccc3c2[C@H]1[CH2:1]c1ccc(O)c(O)c1-3|CN1CCc2c[cH:1]cc3c2[C@H]1Cc1ccc(O)c(O)c1-3
CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccc(O)cc34)C21|CN1c2ccccc2C(=O)N2CC(O)c3c([nH]c4ccccc34)C21,CN1c2ccccc2C(=O)N2CCc3c([nH]c4cc[cH:1]cc34)C21|CN1c2ccccc2C(=O)N2CCc3c([nH]c4c[cH:1]ccc34)C21|C[N:1]1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21|CN1c2ccccc2C(=O)N2C[CH2:1]c3c([nH]c4ccccc34)C21|O=C1c2ccccc2N([CH3:1])C2c3[nH]c4ccccc4c3CCN12|C[N:1]1[c:1]2cccc[c:1]2[C:1](=O)[N:1]2CCc3c([nH]c4ccccc34)[CH:1]21|CN1c2c[cH:1]ccc2C(=O)N2CCc3c([nH]c4ccccc34)C21|CN1c2cc[cH:1]cc2C(=O)N2CCc3c([nH]c4ccccc34)C21|CN1c2ccccc2C(=O)N2CCc3c([nH]c4c3ccc[cH:1]4)C21|CN1c2ccccc2C(=O)[N:1]2CCc3c([nH]c4ccccc34)C21
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1Sc1ccc2c(C3OC3c3ccccn3)n[nH]c2c1|CNC(=O)c1ccccc1S(=O)c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3cccc[n+]3[O-])n[nH]c2c1|O=C(NCO)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1[S:1]c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|C[NH:1]C(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|O=C(N[CH3:1])c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1c[cH:1]ccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CN[C:1](=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1cc[cH:1]cc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1c(Sc2ccc3c(/C=C/c4ccccn4)n[nH]c3c2)ccc[cH:1]1|CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3cc[cH:1]cn3)n[nH]c2c1|CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH:1]c2c1|C[NH:1][C:1](=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CNCC[C@@H](Oc1ccccc1CO)c1ccccc1|Cc1ccccc1O[C@H](CCN)c1ccccc1|CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1,CNCC[C@@H](Oc1ccc[cH:1]c1C)c1ccccc1|CNCC[C@@H](Oc1ccccc1[CH3:1])c1ccccc1|CNCC[C@@H](Oc1cc[cH:1]cc1C)c1ccccc1|Cc1ccccc1O[C@H](CC[NH:1]C)c1ccccc1|CNCC[C@@H:1](Oc1ccccc1C)c1ccccc1|CNCC[C@@H](Oc1ccccc1C)c1cc[cH:1]cc1|CNCC[C@H](c1ccccc1)[O:1]c1ccccc1C|CNCC[C@@H](Oc1c[cH:1]ccc1C)c1ccccc1|CN[CH2:1]C[C@@H](Oc1ccccc1C)c1ccccc1|CNCC[C@H:1](c1ccccc1)[O:1]c1ccccc1C
CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,O=C(O)c1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1|NCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1|C/[N+]([O-])=C/c1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,C[NH:1]Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1|CN[CH2:1]c1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1|C[NH:1][CH2:1]c1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1|CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2ccc[n:1]c2)c1|O=S(=O)(c1cccnc1)n1cc(CN[CH3:1])cc1-c1ccccc1F|CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)[cH:1]1|CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cc[cH:1]nc2)c1|O=S(=O)(c1cccnc1)n1cc(C[NH:1][CH3:1])cc1-c1ccccc1F|CNCc1cc(-c2cc[cH:1]cc2F)n(S(=O)(=O)c2cccnc2)c1|C[NH:1]Cc1cc(-c2ccccc2F)[n:1](S(=O)(=O)c2cccnc2)c1
CN[C@@H](C)[C@@H](O)c1ccccc1,C[C@H](N)[C@@H](O)c1ccccc1,C[C@@H]([C@@H](O)c1ccccc1)[NH:1]C|CN[C@@H](C)[C@H:1](c1ccccc1)[OH:1]|CN[C@@H](C)[C@@H:1](O)c1ccccc1|CN[C@@H](C)[C@@H](O)c1cc[cH:1]cc1|CN[C@@H](C)[C@H](c1ccccc1)[OH:1]|C[C@@H](N[CH3:1])[C@@H](O)c1ccccc1|CN[C@@H](C)[C@@H](O)c1ccc[cH:1]c1|C[C@H]([C@@H](O)c1ccccc1)[NH:1]C|C[C@@H]([NH:1]C)[C@@H:1](O)c1ccccc1|CN[C@@H:1](C)[C@@H](O)c1ccccc1
CN[C@@H](C)[C@H](O)c1ccccc1,C[C@H](O)[C@H](O)c1ccccc1|C[C@@H](N)[C@@H](O)c1ccccc1,CN[C@@H](C)[C@@H:1](c1ccccc1)[OH:1]|C[C@@H]([C@H](O)c1ccccc1)[NH:1]C|CN[C@@H](C)[C@@H](c1ccccc1)[OH:1]|C[C@@H]([C@@H](O)c1ccccc1)[NH:1]C|CN[C@@H](C)[C@H](O)c1cc[cH:1]cc1|CN[C@@H](C)[C@H:1](O)c1ccccc1|C[C@@H](N[CH3:1])[C@H](O)c1ccccc1|CN[C@@H](C)[C@H](O)c1ccc[cH:1]c1|C[C@@H]([NH:1]C)[C@@H:1](c1ccccc1)[OH:1]|C[C@@H](N[CH3:1])[C@@H](c1ccccc1)[OH:1]
