substrate,Enzyme,site_truth,truth,site_count
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,CYP2D6,CC[N:1](CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,CCNC(=O)[C@@]1(c2ccccc2)C[C@H]1CN,1
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,CYP3A4,CC[N:1](CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,CCNC(=O)[C@@]1(c2ccccc2)C[C@H]1CN,1
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CYP2C9,CC[NH:1][C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,COCCCN1C[C@H](N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,1
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,CYP3A4,CC[NH:1][C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,COCCCN1C[C@H](N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,1
CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C,CYP2D6,CC[C@@H](c1cc(O)c[cH:1]c1)[C@@H](C)CN(C)C,CC[C@@H](c1cc(O)cc(O)c1)[C@@H](C)CN(C)C,1
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,CYP2D6,C[N:1](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,C[N+](C)([O-])CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,CYP2D6,C[N:1](C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,C[N+](C)([O-])CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1
CN1C(=O)CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc21,CYP2C9,C[N:1]1C(=O)CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc21,O=C1CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc2N1,1
CN1C(=O)CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc21,CYP3A4,C[N:1]1C(=O)CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc21,O=C1CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc2N1,1
CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,CYP3A4,CN1[C@@H](c2nc3ccccc3[nH]2)C[C@H](NC(=O)Nc2ccc(C#N)cc2)[CH2:1][CH2:1]1,CN1C=C[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,1
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CYP3A4,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)cc[n:1]1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)cc[n+]1[O-],1
CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,CYP2D6,C[NH:1]CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1,1
COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,CYP3A4,COc1c(OCCC[N:1]2CC[O:1]CC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21|COc1c(OCCC[N:1]2CC[O:1][CH2:1]C2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21|COc1c(OCCC[N:1]2CC[O:1][CH2:1][CH2:1]2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21|COc1c(OCC[CH2:1]N2CC[O:1]CC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21|COc1c([O:1]CCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,COc1c(O)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21|COc1c(OCCC(=O)O)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21|COc1c(OCCCN(C=O)CCO)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21|COc1c(OCCCN2CCOCC2=O)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21|COc1c(OCCCNCCO)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21|COc1c(OCCCO)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,5
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,CYP3A4,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl|COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CC[N:1](C)CC4)c(OC)cc23)c(Cl)cc1Cl,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1O|COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCNCC4)c(OC)cc23)c(Cl)cc1Cl,2
COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,CYP2C9,COc1cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)cc([O:1]C)c1,COc1cc(O)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,1
COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,CYP3A4,COc1cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)cc([O:1]C)c1,COc1cc(O)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,1
COc1cc2c(cc1OC)[C@H]1C[C@@H](O)[C@H](CC(C)C)CN1CC2,CYP2D6,COc1cc2c(cc1[O:1]C)CCN1C[C@@H](CC(C)C)[C@H](O)C[C@H]21|COc1cc2c(cc1[O:1]C)[C@H]1C[C@@H](O)[C@H](CC(C)C)CN1CC2,COc1cc2c(cc1O)CCN1C[C@@H](CC(C)C)[C@H](O)C[C@H]21|COc1cc2c(cc1O)[C@H]1C[C@@H](O)[C@H](CC(C)C)CN1CC2,2
COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,CYP3A4,COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CC[N:1](C)C)c1cccc2ccccc12,CNCC[C@@](O)(c1cccc2ccccc12)[C@H](c1ccccc1)c1cc2cc(Br)ccc2nc1OC,1
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,CYP2C9,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3cc[cH:1]cn3)c2)c(Cl)c1,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccc(O)cn3)c2)c(Cl)c1,1
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,CYP3A4,CS(=O)(=O)c1ccc(C(=O)Nc2cc(-c3ccccn3)c(Cl)[cH:1]c2)c(Cl)c1,CS(=O)(=O)c1ccc(C(=O)Nc2cc(O)c(Cl)c(-c3ccccn3)c2)c(Cl)c1,1
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,CYP3A4,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H]([OH:1])CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](OS(=O)(=O)O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,1
Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2ccccc2[nH]1,CYP3A4,Cc1c(OCC(F)(F)F)ccnc1C[S@@:1](=O)c1nc2ccccc2[nH]1,Cc1c(OCC(F)(F)F)ccnc1CS(=O)(=O)c1nc2ccccc2[nH]1,1
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CYP3A4,Cc1nc(Nc2ncc(C(=O)Nc3c(C)c[cH:1]cc3Cl)s2)cc(N2CCN(CCO)CC2)n1|Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[N:1](CCO)CC2)n1|Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3[CH3:1])s2)cc(N2CCN(CCO)CC2)n1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cc(O)cc3Cl)s2)cc(N2CCN(CCO)CC2)n1|Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCNCC2)n1|Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3CO)s2)cc(N2CCN(CCO)CC2)n1,3
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O,CYP3A4,OC1N=C(c2ccccc2F)c2cc(Cl)ccc2-n2c1cnc2[CH3:1],OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O,1
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,CYP1A2,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOC[CH2:1]4)cc3)n2)cc1,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4=O)cc3)n2)cc1,1
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,CYP2C9,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOC[CH2:1]4)cc3)n2)cc1,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4=O)cc3)n2)cc1,1
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,CYP3A4,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOC[CH2:1]4)cc3)n2)cc1,N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4=O)cc3)n2)cc1,1
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,CYP1A2,O=C(C1CC[CH2:1]CC1)N1CC(=O)N2CCc3ccccc3C2C1,O=C(C1CCC(O)CC1)N1CC(=O)N2CCc3ccccc3C2C1,1
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,CYP2C9,O=C(C1CC[CH2:1]CC1)N1CC(=O)N2CCc3ccccc3C2C1,O=C(C1CCC(O)CC1)N1CC(=O)N2CCc3ccccc3C2C1,1
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,CYP3A4,O=C(C1CC[CH2:1]CC1)N1CC(=O)N2CCc3ccccc3C2C1,O=C(C1CCC(O)CC1)N1CC(=O)N2CCc3ccccc3C2C1,1
O=C(O)CNC(=O)C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,CYP3A4,O=C(O)CNC(=O)C1C(=O)N(C2CCC[CH2:1]C2)C(=O)N(C2CCC[CH2:1]C2)C1=O|O=C(O)CNC(=O)C1C(=O)N(C2CCC[CH2:1]C2)C(=O)N(C2CCC[CH2:1]C2)[C:1]1=[O:1]|O=C(O)CNC(=O)C1C(=O)N(C2CCC[CH2:1]C2)C(=O)N(C2CC[CH2:1]CC2)[C:1]1=[O:1]|O=C(O)CNC(=O)C1C(=O)N(C2CC[CH2:1]CC2)C(=O)N(C2CC[CH2:1]CC2)[C:1]1=[O:1],O=C(O)CNC(=O)C1C(=O)N(C2CCC(O)CC2)C(=O)N([C@H]2CC[C@H](O)CC2)C1O|O=C(O)CNC(=O)C1C(=O)N(C2CCC[C@@H](O)C2)C(=O)N([C@H]2CC[C@H](O)CC2)C1O|O=C(O)CNC(=O)C1C(=O)N(C2CCC[C@H](O)C2)C(=O)N([C@@H]2CCC[C@H](O)C2)C1=O|O=C(O)CNC(=O)C1C(=O)N(C2CCC[C@H](O)C2)C(=O)N([C@H]2CCC[C@H](O)C2)C1O,4
O=C(O)CNC(=O)C1C(=O)N(C2CCC[C@H](O)C2)C(=O)N([C@H]2CC[C@H](O)CC2)C1O,CYP3A4,O=C(O)CNC(=O)C1C(=O)N(C2CC[CH2:1][C@H](O)C2)C(=O)N([C@H]2CC[C@H](O)CC2)C1O,O=C(O)CNC(=O)C1C(=O)N(C2CC[C@H](O)[C@H](O)C2)C(=O)N([C@H]2CC[C@H](O)CC2)C1O,1
O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,CYP2C9,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2c(ccc[cH:1]2)c1-c1ccc(F)cc1,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2c(O)cccc2c1-c1ccc(F)cc1,1
O=C1CC(O)CC(/C=C/c2c(C3CC3)nc3ccccc3c2-c2ccc(F)cc2)O1,CYP3A4,O=[C:1]1CC(O)C[CH:1](/C=C/c2c(C3CC3)nc3ccccc3c2-c2ccc(F)cc2)[O:1]1,O=C(O)CC(O)CC(=O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,1
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(F)(F)F,CYP2C9,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2[N:1]1CC(F)(F)F|O=C1N(CC(F)(F)F)c2ccc(Cl)cc2C(c2ccccc2F)=N[CH2:1]1,O=C1C(O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(F)(F)F|O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1,2
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(F)(F)F,CYP3A4,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2[N:1]1CC(F)(F)F|O=C1N(CC(F)(F)F)c2ccc(Cl)cc2C(c2ccccc2F)=N[CH2:1]1,O=C1C(O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(F)(F)F|O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1,2
OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2,CYP2D6,OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3cc[cH:1]cc3)(CC1)CC2|OC(c1ccccc1)(c1ccccc1)C12CC[N+](CC[O:1]Cc3ccccc3)(CC1)CC2,OCC[N+]12CCC(C(O)(c3ccccc3)c3ccccc3)(CC1)CC2|Oc1ccc(COCC[N+]23CCC(C(O)(c4ccccc4)c4ccccc4)(CC2)CC3)cc1,2
OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,CYP2D6,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCC[O:1]C4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1O[C@@H](c2ccc(Cl)c([CH2:1]c3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,OCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1|OC[C@H]1O[C@@H](c2ccc(Cl)c(C(O)c3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,2
OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,CYP3A4,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCC[O:1]C4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OC[CH2:1][O:1]C4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1O[C@@H](c2ccc(Cl)c([CH2:1]c3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,O=C(O)COc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1|OCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1|OC[C@H]1O[C@@H](c2ccc(Cl)c(C(O)c3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,3
OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,CYP3A4,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=N[CH2:1]2,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O,1
