name,truth,grouped
12,CCOc1ccc(NC(=S)N(CCO)Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1,CCOC1=CC=C(NC(=S)N(CCO)C/C2=C/C3=CC(C)=CC(C)=C3NC2=O)[CH:1]=[CH:1]1|CCOC1=CC=C(NC(=S)N(CC[OH:1])C/C2=C/C3=CC(C)=CC(C)=C3NC2=O)C=C1|CCOC1=CC=C(NC(=S)[N:1](CCO)C/C2=C/C3=CC(C)=CC(C)=C3NC2=O)C=C1|CCOC1=CC=C(NC(=S)N(CCO)C/C2=C/C3=CC([CH3:1])=CC(C)=C3NC2=O)C=C1|CC[O:1]C1=CC=C(NC(=S)N(CCO)C/C2=C/C3=CC(C)=CC(C)=C3NC2=O)C=C1|CCOC1=CC=C(NC(=S)N(CCO)C/C2=C/C3=CC(C)=CC(C)=C3NC2=O)C=[CH:1]1|CCOC1=CC=C(NC(=S)N(CCO)C/C2=C/C3=CC(C)=CC(C)=C3[NH:1]C2=O)C=C1|CCO[C:1]1=[CH:1][CH:1]=[C:1](NC(=S)N(CCO)C/C2=C/C3=CC(C)=CC(C)=C3NC2=O)[CH:1]=[CH:1]1|CCOC1=CC=C([NH:1]C(=S)N(CCO)C/C2=C/C3=CC(C)=CC(C)=C3NC2=O)C=C1|CCOC1=CC=C(NC(=S)N(CCO)C/[C:1]2=[CH:1]/C3=CC(C)=CC(C)=C3NC2=O)C=C1
13,COc1ccc2c(Oc3ccc(C4(C(=O)NO)CCOCC4)cc3)ccnc2n1,COC1=C\C=C2\C([O:1]C3=CC=C(C4(C(=O)NO)CCOCC4)C=C3)=CC=N\C2=N\1|COC1=C\C=C2\C(OC3=CC=C(C4(C(=O)N[OH:1])CCOCC4)C=C3)=CC=N\C2=N\1|COC1=C\C=C2\C(OC3=CC=C(C4(C(=O)[NH:1]O)CCOCC4)C=C3)=CC=N\C2=N\1|COC1=C\C=C2\C(O[C:1]3=[CH:1][CH:1]=[C:1](C4(C(=O)NO)CCOCC4)[CH:1]=[CH:1]3)=CC=N\C2=N\1|COC1=C\C=C2\C(OC3=CC=C(C4(C(=O)NO)CCOCC4)C=C3)=CC=N\C2=N\1|COC1=C\C=C2\C(OC3=CC=C([C:1]4(C(=O)NO)CCOC[CH2:1]4)C=C3)=CC=N\C2=N\1|COC1=C\C=C2\C(OC3=CC=C(C4([C:1](=O)NO)CCOCC4)C=C3)=CC=N\C2=N\1|COC1=C\C=C2/C([O:1]C3=CC=C(C4(C(=O)NO)CCOCC4)C=C3)=CC=N\C2=N\1|COC1=C\C=C2\C(OC3=CC=C([C:1]4(C(=O)NO)CCOCC4)C=C3)=CC=N\C2=N\1|COC1=C\C=C2\C(OC3=CC=C(C4(C(=O)NO)CCOCC4)C=C3)=C[CH:1]=[N:1]\C2=N\1
14,C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(C[O:1]C2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CCCO)[O:1]C1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CC[CH2:1][OH:1])OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CC[CH2:1]O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CCC[OH:1])OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(COC2OC(C[OH:1])C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CC[CH2:1]O)[O:1]C1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(COC2OC(CO)C(O)C([OH:1])C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC([CH2:1]OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C([OH:1])C1O
15,Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)CC2)s1,CC1=NC=C(S(=O)(=O)[N:1]2CCC(C3=C/N4N=CN=C4/C=C\3Cl)CC2)S1|CC1=NC=C(S(=O)(=O)N2CCC(C3=C/[N:1]4[N:1]=[CH:1][N:1]=[C:1]4/C=C\3Cl)CC2)S1|CC1=NC=C(S(=O)(=O)N2CCC([C:1]3=[CH:1]/N4N=CN=C4/C=C\3Cl)CC2)S1|CC1=NC=C(S(=O)(=O)N2CCC(C3=C/N4N=C[N:1]=[C:1]4/C=C\3Cl)CC2)S1|CC1=NC=C(S(=O)(=O)N2CCC([C:1]3=[CH:1]/[N:1]4N=CN=C4/C=C\3Cl)CC2)S1|CC1=NC=C(S(=O)(=O)N2CCC(C3=C/N4N=CN=C4/C=C\3Cl)C[CH2:1]2)S1|C[C:1]1=NC=C(S(=O)(=O)N2CCC(C3=C/N4N=CN=C4/C=C\3Cl)CC2)S1|CC1=NC=C(S(=O)(=O)N2CCC(C3=C/[N:1]4N=CN=C4/C=C\3Cl)CC2)S1|CC1=NC=C(S(=O)(=O)N2CCC(C3=C/N4N=CN=C4/[CH:1]=[CH:1]\3Cl)CC2)S1|C[C:1]1=[N:1][CH:1]=[C:1](S(=O)(=O)N2CCC(C3=C/N4N=CN=C4/C=C\3Cl)CC2)[S:1]1
16,COc1ccc(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,COC1=CC=C(CCCC[O:1]C2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1|COC1=CC=C(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)[CH:1]=[CH:1]1|CO[C:1]1=[CH:1][CH:1]=[C:1](CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)[CH:1]=[CH:1]1|COC1=CC=C(CCCCOC2OC(C[OH:1])[C@@H](O)[C@H](O)[C@H]2O)C=C1|C[O:1]C1=CC=C(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1|COC1=CC=C(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)C=[CH:1]1|COC1=CC=C(CCCCOC2OC(CO)[C@@H](O)[C@H]([OH:1])[C@H]2O)C=C1|COC1=CC=C(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2[OH:1])C=C1|COC1=CC=C(CCCCOC2OC(CO)[C@@H]([OH:1])[C@H](O)[C@H]2O)C=C1|COC1=CC=C(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1
17,O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C([O:1]C1OC(C(=O)O)C(O)C(O)C1O)=C2|O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C([OH:1])C(OC1OC(C(=O)O)C(O)C(O)C1O)=C2|O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C(O[CH:1]1OC(C(=O)O)C(O)C(O)C1O)=C2|O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C(OC1OC(C(=O)O)C(O)C(O)C1[OH:1])=C2|O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)[CH:1](OC1OC(C(=O)O)C(O)C(O)C1O)=C2|O=C1C=C(C2=C[CH:1]=C(O)C=C2)OC2=C1C(O)=C(O)C(OC1OC(C(=O)O)C(O)C(O)C1O)=C2|O=C1C=C([C:1]2=[CH:1]C=C(O)C=C2)OC2=C1C(O)=C(O)C(OC1OC(C(=O)O)C(O)C(O)C1O)=C2|O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C(OC1OC([C:1](=O)O)C(O)C(O)C1O)=C2|O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C(OC1OC(C(=O)O)C([OH:1])C(O)C1O)=C2|O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C(O[CH:1]1[O:1]C(C(=O)O)C(O)C(O)[CH:1]1O)=C2
18,CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1,CN1CCC[C@@H]([O:1]C(=O)[C@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)C1|C[N:1]1CCC[C@@H](OC(=O)[C@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)C1|CN1CCC[C@@H](OC(=O)[C@:1](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)C1|CN1CCC[C@@H](OC(=O)[C@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=C[CH:1]=[CH:1]2)C1|CN1CCC[C@@H](OC(=O)[C@](O)(C2=C[CH:1]=[CH:1]C=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)C1|CN1CCC[C@@H](OC(=O)[C@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C([OH:1])C=C4)C=C3)=CC=C2)C1|CN1CCC[C@@H](OC(=O)[C@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)[C:1]3=[CH:1][CH:1]=[C:1](CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)C1|CN1CCC[C@@H](OC(=O)[C@@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=C[CH:1]=[CH:1]2)C1|CN1CCC[C@@H:1](OC(=O)[C@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)C1|CN1CCC[C@@H](OC(=O)[C@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)[CH2:1]1
19,CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1,CC[C@H](C)C(=O)N1CCC(NC(=O)N[C:1]2=[CH:1][CH:1]=[C:1](OC(F)(F)F)[C:1](F)=[CH:1]2)CC1|C[C@H](C(=O)N1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)CC1)[CH2:1]C|CC[C@H](C)C(=O)N1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)C[CH2:1]1|CC[C@H](C)C(=O)N1CCC([NH:1]C(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)CC1|C[C@@H](C(=O)N1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)CC1)[CH2:1]C|CC[C@H](C)C(=O)N1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)[CH2:1]C1|CC[C@H](C)C(=O)[N:1]1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)CC1|C[CH2:1][C@H](C)C(=O)N1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)CC1|CC[C@H](C)C(=O)N1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)[C:1](F)=[CH:1]2)CC1|CC[C@H](C)C(=O)N1CCC(NC(=O)NC2=CC=C([O:1]C(F)(F)F)C(F)=C2)CC1
20,CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CC[CH2:1][C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)CC1=C[CH:1]=[CH:1]S1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)[C:1](N)=O|CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)[NH2:1])C(N)=O|CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=C[CH:1]=[CH:1]C=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1C[CH2:1]C[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC[CH2:1]NC(=N)N)C(N)=O|CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=C[CH:1]=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1[C:1](=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)[NH2:1]
21,CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)C1,CCN(CC)C(=O)C1/C=C2/C3=CC=CC4=C3C(=C[N:1]4C(=O)C3CC3)CC2N(C)C1|CCN(CC)C(=O)C1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)C3CC3)CC2[N:1](C)C1|CC[N:1](CC)C(=O)C1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)C3CC3)CC2N(C)C1|CCN(CC)C(=O)C1/C=C2/C3=C[CH:1]=[CH:1]C4=C3C(=CN4C(=O)C3CC3)CC2N(C)C1|CCN(CC)C(=O)C1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)[CH:1]3CC3)CC2N(C)C1|CCN(CC)C(=O)C1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)C3[CH2:1]C3)CC2N(C)C1|CCN(CC)C(=O)[CH:1]1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)C3CC3)CC2N(C)C1|CCN(CC)C(=O)C1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)C3C[CH2:1]3)CC2N(C)C1|CCN(CC)[C:1](=O)C1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)C3CC3)CC2N(C)C1|CCN(CC)C(=O)C1/C=C2\C3=CC=CC4=C3C(=C[N:1]4C(=O)C3CC3)CC2N(C)C1
22,COc1c([C@H]2C(C(=O)Nc3ccnc(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F,COC1=C([C@H]2C(C(=O)NC3=CC=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1F|COC1=C([C@H]2C(C(=O)NC3=CC=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1[F:1]|COC1=C([C@H]2C(C(=O)NC3=C[CH:1]=[N:1]C(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1F|COC1=C([C@H]2C(C(=O)NC3=CC=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=C[C:1](F)=[C:1]1F|COC1=C([C@H]2C(C(=O)NC3=CC=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)[CH:1]=[CH:1]C(F)=C1F|COC1=C([C@H:1]2C(C(=O)NC3=CC=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1F|COC1=C([C@H]2C(C(=O)NC3=CC=NC([C:1](N)=[O:1])=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1F|COC1=C([C@H]2C(C(=O)N[C:1]3=[CH:1][CH:1]=[N:1][C:1](C(N)=O)=[CH:1]3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1F|COC1=C([C@H]2C(C(=O)NC3=C[CH:1]=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1F|COC1=C([C@H]2C([C:1](=O)NC3=CC=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1F
23,CCN(CC)CCc1c[nH]c2cccc(OC(C)=O)c12,CCN(CC)CCC1=CNC2=C1C([O:1]C(C)=O)=CC=C2|CC[N:1](CC)CCC1=CNC2=C1C(OC(C)=O)=CC=C2|CCN(CC)CC[C:1]1=[CH:1][NH:1][C:1]2=[C:1]1C(OC(C)=O)=CC=C2|CCN(CC)CCC1=CNC2=C1C(OC(C)=O)=C[CH:1]=[CH:1]2|CCN(CC)CCC1=CNC2=C1C(OC(C)=O)=C[CH:1]=C2|CCN(CC)CCC1=CNC2=C1[C:1](OC(C)=O)=[CH:1]C=C2|CCN(CC)CCC1=CNC2=C1[C:1]([O:1]C(C)=O)=[CH:1]C=C2|CCN(CC)CCC1=CNC2=C1C(OC(C)=O)=CC=[CH:1]2|CCN(CC)[CH2:1]CC1=CNC2=C1C(OC(C)=O)=CC=C2|CCN(CC)CCC1=CN[C:1]2=[C:1]1[C:1](OC(C)=O)=[CH:1][CH:1]=[CH:1]2
24,N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)NCc3ccc(C(F)(F)F)cc3)c2)C1,N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=C[CH:1]=[CH:1]2)C1|N#CC1CN(S(=O)(=O)[C:1]2=[CH:1][C:1](C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=[CH:1][CH:1]=[CH:1]2)C1|N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=CC=C2)[CH2:1]1|N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=CC=[CH:1]2)C1|N#CC1C[N:1](S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=CC=C2)C1|N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NCC3=C[CH:1]=[C:1](C(F)(F)F)C=C3)=CC=C2)C1|N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NC[C:1]3=[CH:1][CH:1]=[C:1](C(F)(F)F)[CH:1]=[CH:1]3)=CC=C2)C1|N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)N[CH2:1]C3=CC=C(C(F)(F)F)C=C3)=CC=C2)C1|N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3[C:1](=O)NCC3=CC=C(C(F)(F)F)C=C3)=CC=C2)C1|N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3C[CH2:1]C[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=CC=C2)C1
25,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,CCC(CC)C[O:1]C(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)OC1=CC=CC=C1|CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)[O:1]C1=CC=CC=C1|CCC(CC)C[O:1]C(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)[O:1]C1=CC=CC=C1|CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1[OH:1])OC1=CC=CC=C1|CCC(CC)COC(=O)[C@H](C)[NH:1][P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)OC1=CC=CC=C1|CCC(CC)COC(=O)[C@H:1](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)OC1=CC=CC=C1|CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)OC1=CC=C[CH:1]=[CH:1]1|CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)O[C:1]1=[CH:1]C=CC=C1|CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)OC1=C[CH:1]=[CH:1]C=C1|CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)O[C:1]1=[CH:1][CH:1]=[CH:1][CH:1]=[CH:1]1
26,O=C1CC[C@@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,[H][C@@]1(N2CC3=C(C=CC=C3OCC3=CC=C(CN4CCOCC4)C=C3)C2=O)CCC(=O)[NH:1]C1=O|[H][C@@:1]1(N2CC3=C(C=CC=C3OCC3=CC=C(CN4CCOCC4)C=C3)C2=O)CCC(=O)NC1=O|[H][C@@]1(N2CC3=C(C=CC=C3O[CH2:1]C3=CC=C(CN4CCOCC4)C=C3)C2=O)CCC(=O)NC1=O|[H][C@@]1(N2CC3=C(C=CC=C3OCC3=CC=C(CN4CCOC[CH2:1]4)C=C3)C2=O)CCC(=O)NC1=O|[H][C@@]1([N:1]2CC3=C(C=CC=C3OCC3=CC=C(CN4CCOCC4)C=C3)C2=O)CCC(=O)NC1=O|[H][C@@]1(N2CC3=C(C=CC=C3OCC3=CC=C(CN4CCOCC4)C=C3)C2=O)CCC(=O)NC1=O|[H][C@@]1(N2CC3=C(C=CC=C3OCC3=CC=C(C[N:1]4CCOCC4)C=C3)C2=O)CCC(=O)NC1=O|[H][C@@]1(N2CC3=C(C=CC=C3OCC3=CC=C(CN4CCOCC4)C=C3)C2=O)CCC(=O)N[C:1]1=[O:1]|[H][C@@]1(N2CC3=C(C=CC=C3OC[C:1]3=[CH:1][CH:1]=[C:1](CN4CCOCC4)[CH:1]=[CH:1]3)C2=O)CCC(=O)NC1=O|[H][C@@]1(N2CC3=C(C=CC=C3OCC3=CC=C(CN4CCOCC4)C=C3)C2=O)CCC(=O)N[C:1]1=O
27,CNC(C)Cc1ccc2c(c1)OCO2,CNC(C)CC1=CC=C2O[CH2:1][O:1]C2=C1|CNC(C)CC1=CC=C2O[CH2:1]OC2=C1|CNC(C)CC1=CC=C2OC[O:1][C:1]2=[CH:1]1|CNC(C)CC1=CC=C2C(=C1)[O:1]C[O:1]2|CNC(C)C[C:1]1=[CH:1][CH:1]=[C:1]2OCO[C:1]2=[CH:1]1|CC(CC1=CC=C2OCOC2=C1)[NH:1]C|CNC(C)CC1=CC=C2O[CH2:1][O:1][C:1]2=[CH:1]1|CNC(C)CC1=C[CH:1]=[C:1]2C(=C1)OC[O:1]2|CNC(C)C[C:1]1=[CH:1][CH:1]=[C:1]2[O:1]CO[C:1]2=[CH:1]1|CNC(C)CC1=CC=C2C(=C1)OC[O:1]2
