substrate,all_predictions,metabolite
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)C[N+](CC)(CC)[O-])C3=CC=CC=C3CC2|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)CC)C3=C(C=CC=C3CC2)O|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)C[N+](CC)(CC)C3OC(C(O)=O)C(C(C3O)O)O)C4=CC=CC=C4CC2|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)CCO)C3=CC=CC=C3CC2|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)C(N(CC)CC)O)C3=CC=CC=C3CC2|C(COC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)CC)C3=CC=CC=C3CC2)O|CCOC(=O)NC1=CC(=C2C(=C1)N(C(=O)CN(CC)CC)C3=CC=CC=C3CC2)O|CC=O|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CNCC)C3=CC=CC=C3CC2|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)C(C)O)C3=CC=CC=C3CC2|CCOC(=O)NC1=C(C=C2C(=C1)N(C(=O)CN(CC)CC)C3=CC=CC=C3CC2)O|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)CC)C3=CC=C(C=C3CC2)O|CCOC(=O)NC1=CC=C2C(=C1O)N(C(=O)CN(CC)CC)C3=CC=CC=C3CC2|CCNCC|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)CC)C3=CC=CC(=C3CC2)O|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)C=O)C3=CC=CC=C3CC2|CCOC(=O)NC1=CC=C2C(=C1)N(C(=O)CN(CC)CC)C3=CC(=CC=C3CC2)O,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21
C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,NC(C)(C)C|C([C@H](NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1)O|C(C(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1)O|C[C@H](NC(C)(C)C)C(O)C1=CC=CC(Cl)=C1|C[C@H](NC(C)(C)C)C(=O)C1=C(C=CC(Cl)=C1)O|C[C@H](NC(C)(C)CO)C(=O)C1=CC=CC(Cl)=C1|C[C@H](NC(C)(C)C)C(=O)C1=CC=C(C(Cl)=C1)O|C[C@H](NC(C)(C)C)C(=O)C1=CC(=CC(Cl)=C1)O|CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC(=C1)O|C=C(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1|CC(NC(C)(C)C)C(=O)C1=CC(Cl)=C(C=C1)O|C[C@H](NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1O|CC(NC(C)(C)CO)C(=O)C1=CC(Cl)=CC=C1|CC(C(=O)C1=CC(Cl)=CC=C1)=O,C[C@@H](NC(C)(C)C)C(=O)c1cc(O)cc(Cl)c1|C[C@@H]1NC(C)(C)CO[C@]1(O)c1cccc(Cl)c1|CC(NC(C)(C)CO)C(=O)c1cccc(Cl)c1|CC(C)(C)N[C@H](CO)C(=O)c1cccc(Cl)c1|C[C@@H](NC(C)(C)CO)C(=O)c1cccc(Cl)c1|C[C@H](NC(C)(C)C)C(=O)c1ccc(O)c(Cl)c1
CN(C)CCCN1c2ccccc2CCc2ccccc21,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31|C[N+](C)(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)C4OC(C(O)=O)C(C(C4O)O)O|C(CCN1C2=CC=CC=C2CCC3=CC=CC=C31)=O|CNC|CN(C)CCCN1C2=CC=CC=C2CCC3=C(C=CC=C31)O|CN(C)CCCN1C2=CC(=CC=C2CCC3=CC=CC=C31)O|O=C|N1C2=CC=CC=C2CCC3=CC=CC=C31|CN(C)CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)O|C[N+](C)(CCCN1C2=CC=CC=C2CCC3=CC=CC=C31)[O-]|CN(C)CCCN1C2=CC=CC=C2CCC3=CC(O)=CC=C31|CN(C)C(CCN1C2=CC=CC=C2CCC3=CC=CC=C31)O|C(CCN(C)C)=O|CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC(=C31)O|CN(C)CCC(N1C2=CC=CC=C2CCC3=CC=CC=C31)O,CNCCCN1c2ccccc2CCc2ccccc21|C[N+](C)(CCCN1c2ccccc2CCc2ccccc21)C1OC(C(=O)O)C(O)C(O)C1O|CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21|NCCCN1c2ccccc2CCc2ccccc21|CNCCCN1c2ccccc2CC(O)c2ccccc21|C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21|CN(C)CCCN1c2ccccc2CC(O)c2ccccc21|NCCCN1c2ccccc2CCc2cc(O)ccc21|c1ccc2c(c1)CCc1ccccc1N2
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,C(C1=CC(F)=CC=C1)=O|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=C(C=C5)O)F)Cl|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC(=C5)O)F)Cl|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C(=C4)O)OCC5=CC(=CC=C5)F)Cl|CS(=O)(=O)CCN|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C(=C2)O)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl|NCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl|CS(=O)(=O)CCNC(C1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl)O|CS(=O)(=O)CCNCC1=CC=C(O1)C2=C(C3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl)O|S(=O)(=O)(CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl)CO|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)O)Cl|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4O)OCC5=CC(=CC=C5)F)Cl|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=C(C(=C(C=C4)OCC5=CC(=CC=C5)F)Cl)O|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2O)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl|CS(=O)(=O)CC=O|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=C(C(=CC=C5)F)O)Cl|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5O)F)Cl|C(C1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl)=O|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OC(C5=CC(=CC=C5)F)O)Cl|CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)NC(N=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl)=O,CS(=O)(=O)CCN(O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(O)c(Cl)c4)c3c2)o1|NCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,COC1=C(C2=CC=C3C=C([NH](S(C)(=O)=O)C4OC(C(O)C(O)C4O)C(O)=O)C=CC3=C2)C=C(N5C=CC(=O)NC5=O)C=C1C(C)(C)C|COC1=C(C2=CC=C3C=C(NS(C)(=O)=O)C(=CC3=C2)O)C=C(N4C=CC(=O)NC4=O)C=C1C(C)(C)C|COC1=C(C2=CC=C3C=C(NS(C)(=O)=O)C=C(C3=C2)O)C=C(N4C=CC(=O)NC4=O)C=C1C(C)(C)C|COC1=C(C2=CC(=C3C=C(NS(C)(=O)=O)C=CC3=C2)O)C=C(N4C=CC(=O)NC4=O)C=C1C(C)(C)C|O=C|OC1=C(C2=CC=C3C=C(NS(C)(=O)=O)C=CC3=C2)C=C(N4C=CC(=O)NC4=O)C=C1C(C)(C)C|COC1=C(C2=CC=C3C=C(NS(C)(=O)=O)C=CC3=C2)C=C(N(C=CC(=O)O)C(N)=O)C=C1C(C)(C)C|COC1=C(C2=C(C=C3C=C(NS(C)(=O)=O)C=CC3=C2)O)C=C(N4C=CC(=O)NC4=O)C=C1C(C)(C)C|COC1=C(C2=CC=C3C=C(NS(C)(=O)=O)C=CC3=C2)C=C(N4C=CC(=O)NC4=O)C=C1C(C)(C)CO|COC1=C(C2=CC=C3C(=C(NS(C)(=O)=O)C=CC3=C2)O)C=C(N4C=CC(=O)NC4=O)C=C1C(C)(C)C|COC1=C(C2=CC=C3C=C(NS(C)(=O)=O)C=CC3=C2O)C=C(N4C=CC(=O)NC4=O)C=C1C(C)(C)C,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)CO
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CC1=CC=CC=C1O|CNCC[C@@H](OC1=CC(=CC=C1C)O)C2=CC=CC=C2|NCC[C@@H](OC1=CC=CC=C1C)C2=CC=CC=C2|CNCC[C@@H](OC1=CC=CC=C1C)C2=CC=C(C=C2)O|CC1=CC=CC=C1OC(CCN)C2=CC=CC=C2|CNCCC(C1=CC=CC=C1)=O|C(C[C@@H](OC1=CC=CC=C1C)C2=CC=CC=C2)=O|O=C|CNCCC(OC1=CC=CC=C1CO)C2=CC=CC=C2|CNCC[C@@H](OC1=CC=CC=C1CO)C2=CC=CC=C2|CNCCC(OC1=CC=C(O)C=C1C)C2=CC=CC=C2|CNCC[C@@H](OC1=CC=CC(=C1C)O)C2=CC=CC=C2|NC|CNCC[C@@H](OC1=CC=CC=C1C)C2=C(C=CC=C2)O|CNCCC(OC1=CC=CC=C1C)(C2=CC=CC=C2)O,CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1|Cc1ccccc1O[C@@H](CCN)c1ccccc1|CNCC[C@H](Oc1ccccc1C)c1ccc(O)cc1|CNCC[C@@H](Oc1ccccc1CO)c1ccccc1|Cc1ccccc1O[C@H](CCN)c1ccccc1
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,C[C@]12C=C(C(=O)C(Cl)=C1CC[C@H]3[C@H]2CC[C@]4(C)[C@@H]3CC[C@]4(C)O)O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]3[C@H]2C(C[C@]4(C)[C@@H]3CC[C@]4(C)O)O|C[C@]12CCC(=O)C(Cl)=C1CC[C@H]3[C@H]2CC[C@]4(C)[C@@H]3CC[C@]4(C)O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]3[C@H]2CC[C@]4(C)[C@@H]3CC([C@]4(C)O)O|C([C@]12C=CC(=O)C(Cl)=C1CC[C@H]3[C@H]2CC[C@]4(C)[C@@H]3CC[C@]4(C)O)O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]3[C@H]2CC[C@]4(C)[C@@H]3CC[C@]4(CO)O|C[C@]12C=CC(O)C(Cl)=C1CC[C@H]3[C@H]2CC[C@]4(C)[C@@H]3CC[C@]4(C)O|CC12CCC3C(CC(C4=C(Cl)C(C=CC34C)=O)O)C1CCC2(O)C|C[C@]12C=CC(=O)C(Cl)=C1C(C[C@H]3[C@H]2CC[C@]4(C)[C@@H]3CC[C@]4(C)O)O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]3[C@H]2CC[C@]4(C)[C@@H]3CC[C@]4(C)OC5OC(C(C(C5O)O)O)C(O)=O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]3[C@H]2CC[C@]4(CO)[C@@H]3CC[C@]4(C)O|C[C@]12C3C(C(=O)C(Cl)=C1CC[C@H]4[C@H]2CC[C@]5(C)[C@@H]4CC[C@]5(C)O)O3,C[C@]1(O)CC[C@@H]2[C@H]3CCC4=C(Cl)C(=O)C=C[C@]4(C)[C@@H]3[C@@H](O)C[C@]21C
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2O)C(=NN3)/C=C/C4=CC=CC=N4|CNC(=O)C1=CC=CC=C1[S+](C2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4)C|CNC(=O)C1=CC=CC=C1SC2=CC3=C(C(=C2)O)C(=NN3)/C=C/C4=CC=CC=N4|CNC(=O)C1=C(C=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4)O|CNC(=O)C1=CC=CC=C1S(C2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4)=O|CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=C(C=N4)O|O=C|C(=O)(C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4)N|CNC(=O)C1=CC=CC=C1S(C2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4)=O|CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=[N+]4[O-]|CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3C4C(C(O)C(C(O4)C(O)=O)O)O)/C=C/C5=CC=CC=N5|CNC(=O)C1=CC=C(C=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4)O|CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C4C(C5=CC=CC=N5)O4,O=C(NCO)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1ccccc1Sc1ccc2c(C3OC3c3ccccn3)n[nH]c2c1|CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3cccc[n+]3[O-])n[nH]c2c1|CNC(=O)c1ccccc1S(=O)c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=[NH]C(=CC=N4)=O)N=C2OCCO|COC1=CC=CC=C1OC2=C([NH](S(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)C4OC(C(O)C(O)C4O)C(O)=O)N=C(C5=NC=CC=N5)N=C2OCCO|CC(C)(C)C1=CC=C(S(=O)(=O)NC2=NC(C3=NC=CC=N3)=NC(OCCO)=C2OC4=CC=CC=C4O)C=C1|COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=NC=CC=[N+]4[O-])N=C2OCCO|COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=NC=CC=N4)[N+](=C2OCCO)[O-]|COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=NC=CC=N4)N=C2OCCOS(O)(=O)=O|COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=NC=CC=N4)N=C2OCC=O|O=C|COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=NC=CC=N4)N=C2O|COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=NC=CC=N4)N=C2OCCOC5OC(C(O)=O)C(C(C5O)O)O|COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=NC=C(C=N4)O)N=C2OCCO|COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC(=C(C(C)(C)C)C=C3)O)N=C(C4=NC=CC=N4)N=C2OCCO|COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)CO)C=C3)N=C(C4=NC=CC=N4)N=C2OCCO|COC1=CC(=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=NC=CC=N4)N=C2OCCO)O|COC1=CC=CC=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=NC=CC(N4)=O)N=C2OCCO|C(C=O)O|COC1=CC=C(C=C1OC2=C(NS(=O)(=O)C3=CC=C(C(C)(C)C)C=C3)N=C(C4=NC=CC=N4)N=C2OCCO)O,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncccn2)nc1OCCO|CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccccc2O)cc1
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,O=C(NOCCO)C=1C=CC2=CN=CN2C1NC3=C(C=C(I)C=C3F)O|O=C(NOCCOC1OC(C(O)=O)C(C(C1O)O)O)C=2C=CC3=CN=CN3C2NC4=CC=C(I)C=C4F|O=C(NOCCO)C=1C=CC2=CN=CN2C1NC3=CC(=C(I)C=C3F)O|O=C(NOCC=O)C=1C=CC2=CN=CN2C1NC3=CC=C(I)C=C3F|O=C(NOCCO)C=1C=CC2=CN=CN2C1NC3=CC=C(I)C(=C3F)O|O=C(NOCCOS(O)(=O)=O)C=1C=CC2=CN=CN2C1NC3=CC=C(I)C=C3F,NC(=O)c1ccc2cncn2c1Nc1ccc(I)cc1F|O=c1[nH]n(-c2ccc(I)cc2F)c2c1ccc1cncn12
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)C1=CC=CC=C1C(CC(SCC2(CC(=O)O)CC2)C3=CC=CC(C=CC4=CC=C5C=CC(Cl)=CC5=N4)=C3)O|CC(C)(O)C1=CC(=CC=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3)O|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=C(C5=N4)O)=C3|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)OC3OC(C(O)C(O)C3O)C(O)=O)CC2)C4=CC=CC(/C=C/C5=CC=C6C=CC(Cl)=CC6=N5)=C4|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3O|CC(C)(O)C1=CC=CC=C1C(C[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3)O|C(C)(O)(C1=CC=CC=C1CCC(SCC2(CC(=O)O)CC2)C3=CC=CC(C=CC4=CC=C5C=CC(Cl)=CC5=N4)=C3)CO|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C(=CC(Cl)=CC5=N4)O)=C3|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=C(C(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3)O|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(C(C(=O)O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=C(C=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3)O|CC(C)(O)C1=CC=CC=C1CC[C@@H](S(CC2(CC(=O)O)CC2)=O)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3|CC(C)(O)C1=CC=C(C=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3)O|CC(C)(O)C1=C(C=CC=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3)O|CC(C)(O)C1=CC=CC(=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3)O|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(C4C(C5=CC=C6C=CC(Cl)=CC6=N5)O4)=C3|CC(C)(O)C1=CC=CC=C1CCC(SCC2(CC(=O)O)CC2)(C3=CC=CC(C=CC4=CC=C5C=CC(Cl)=CC5=N4)=C3)O|CC(C)(O)C1=CC=CC=C1CCC(C2=CC=CC(C=CC3=CC=C4C=CC(Cl)=CC4=N3)=C2)S(CC5(CC(=O)O)CC5)=O|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)OC(C[N+](C)(C)C)CC([O-])=O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3|CC(C)(O)C1=CC=CC=C1CC[C@@H]([S+](CC2(CC(=O)O)CC2)C)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=C(C(Cl)=CC5=N4)O)=C3|C(C(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3)O|CC(C)(OC1OC(C(O)=O)C(C(C1O)O)O)C2=CC=CC=C2CC[C@@H](SCC3(CC(=O)O)CC3)C4=CC=CC(/C=C/C5=CC=C6C=CC(Cl)=CC6=N5)=C4|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC2)C(=O)O)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3|CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(CC(=O)NCC(O)=O)CC2)C3=CC=CC(/C=C/C4=CC=C5C=CC(Cl)=CC5=N4)=C3,CC(C)(O)c1cc(O)ccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1C(O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O[C@@H]2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)OC2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|C[C@@](O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|C[C@](O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)S(=O)CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1[C@@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S+]([O-])CC1(CC(=O)O)CC1|CC(O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1[C@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CC(N(C)CC4)O|CC1=CC2=C(S1)NC3=CC(=CC=C3N=C2N4CCN(C)CC4)O|CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CC[N+](C)(CC4)[O-]|CC1=CC2=C(S1)NC3=CC=C(C=C3N=C2N4CCN(C)CC4)O|O=C|CC1=CC2=C(S1)[NH+](C3=CC=CC=C3N=C2N4CCN(C)CC4)[O-]|CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4C(CN(C)CC4)O|C(C1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(C)CC4)O|CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCNCC4|CC1=CC2=C([S+]1[O-])NC3=CC=CC=C3N=C2N4CCN(C)CC4,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1|Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)N(C1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1N=C2N1CCN(C)CC1|CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1
