substrate,metabolite,mapped_rxn,pred_rxn,site_truth
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC(O)C2)cc1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC(O)C2)cc1>>CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,[CH3:1][CH:2]([CH3:3])[CH2:4][NH:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH:23](O)[CH2:24]2)[cH:25][cH:26]1>>[CH3:1][CH:2]([CH3:3])[CH2:4][NH:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:25][cH:26]1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CC[CH2:1]C2)cc1
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(CO)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(CO)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1>>CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,[CH3:1][CH:2]([CH2:3]O)[CH2:4][NH:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:25][cH:26]1>>[CH3:1][CH:2]([CH3:3])[CH2:4][NH:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:25][cH:26]1,CC(CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1)[CH3:1]
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)(O)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)(O)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1>>CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,[CH3:1][C:2]([CH3:3])(O)[CH2:4][NH:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:25][cH:26]1>>[CH3:1][CH:2]([CH3:3])[CH2:4][NH:5][CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[S:17](=[O:18])(=[O:19])[N:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:25][cH:26]1,C[CH:1](C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CC(CN1c2ccccc2S(=O)c2ccccc21)N(C)C,CC(CN1c2ccccc2S(=O)c2ccccc21)N(C)C>>CC(CN1c2ccccc2Sc2ccccc21)N(C)C,[CH3:1][CH:2]([CH2:3][N:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[S:11](=O)[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21)[N:18]([CH3:19])[CH3:20]>>[CH3:1][CH:2]([CH2:3][N:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[S:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21)[N:18]([CH3:19])[CH3:20],CC(CN1c2ccccc2[S:1]c2ccccc21)N(C)C
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CNC(C)CN1c2ccccc2Sc2ccccc21,CNC(C)CN1c2ccccc2Sc2ccccc21>>CC(CN1c2ccccc2Sc2ccccc21)N(C)C,[CH3:19][NH:18][CH:2]([CH3:1])[CH2:3][N:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[S:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21>>[CH3:1][CH:2]([CH2:3][N:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[S:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21)[N:18]([CH3:19])C,CC(CN1c2ccccc2Sc2ccccc21)[N:1](C)C
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CC(CN1c2ccccc2SC2C=CC(O)=CC21)N(C)C,CC(CN1c2ccccc2SC2C=CC(O)=CC21)N(C)C>>CC(CN1c2ccccc2Sc2ccccc21)N(C)C,[CH3:1][CH:2]([CH2:3][N:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[S:11][CH:12]2[CH:13]=[CH:15][C:14](O)=[CH:16][CH:17]12)[N:18]([CH3:19])[CH3:20]>>[CH3:1][CH:2]([CH2:3][N:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[S:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21)[N:18]([CH3:19])[CH3:20],CC(CN1c2ccccc2S[c:1]2[cH:1][cH:1][cH:1][cH:1][c:1]21)N(C)C
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1O,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1O>>CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,[CH3:1][C:2]1([CH3:3])[CH2:4][CH2:5][C:6]([CH2:7][N:8]2[CH2:9][CH2:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16](=[O:17])[NH:18][S:19](=[O:20])(=[O:21])[c:22]4[cH:23][cH:24][c:25]([NH:26][CH2:27][CH:28]5[CH2:29][CH2:30][O:31][CH2:32][CH2:33]5)[c:34]([N+:35](=[O:36])[O-:37])[cH:38]4)[c:39]([O:40][c:41]4[cH:42][n:43][c:44]5[nH:45][cH:46][cH:47][c:48]5[cH:49]4)[cH:50]3)[CH2:51][CH2:52]2)=[C:53]([c:54]2[cH:55][cH:56][c:57]([Cl:58])[cH:59][cH:60]2)[CH:61]1O>>[CH3:1][C:2]1([CH3:3])[CH2:4][CH2:5][C:6]([CH2:7][N:8]2[CH2:9][CH2:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16](=[O:17])[NH:18][S:19](=[O:20])(=[O:21])[c:22]4[cH:23][cH:24][c:25]([NH:26][CH2:27][CH:28]5[CH2:29][CH2:30][O:31][CH2:32][CH2:33]5)[c:34]([N+:35](=[O:36])[O-:37])[cH:38]4)[c:39]([O:40][c:41]4[cH:42][n:43][c:44]5[nH:45][cH:46][cH:47][c:48]5[cH:49]4)[cH:50]3)[CH2:51][CH2:52]2)=[C:53]([c:54]2[cH:55][cH:56][c:57]([Cl:58])[cH:59][cH:60]2)[CH2:61]1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)[CH2:1]1
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(CO)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(CO)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1>>CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,[CH3:1][C:2]1([CH2:3]O)[CH2:4][CH2:5][C:6]([CH2:7][N:8]2[CH2:9][CH2:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16](=[O:17])[NH:18][S:19](=[O:20])(=[O:21])[c:22]4[cH:23][cH:24][c:25]([NH:26][CH2:27][CH:28]5[CH2:29][CH2:30][O:31][CH2:32][CH2:33]5)[c:34]([N+:35](=[O:36])[O-:37])[cH:38]4)[c:39]([O:40][c:41]4[cH:42][n:43][c:44]5[nH:45][cH:46][cH:47][c:48]5[cH:49]4)[cH:50]3)[CH2:51][CH2:52]2)=[C:53]([c:54]2[cH:55][cH:56][c:57]([Cl:58])[cH:59][cH:60]2)[CH2:61]1>>[CH3:1][C:2]1([CH3:3])[CH2:4][CH2:5][C:6]([CH2:7][N:8]2[CH2:9][CH2:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16](=[O:17])[NH:18][S:19](=[O:20])(=[O:21])[c:22]4[cH:23][cH:24][c:25]([NH:26][CH2:27][CH:28]5[CH2:29][CH2:30][O:31][CH2:32][CH2:33]5)[c:34]([N+:35](=[O:36])[O-:37])[cH:38]4)[c:39]([O:40][c:41]4[cH:42][n:43][c:44]5[nH:45][cH:46][cH:47][c:48]5[cH:49]4)[cH:50]3)[CH2:51][CH2:52]2)=[C:53]([c:54]2[cH:55][cH:56][c:57]([Cl:58])[cH:59][cH:60]2)[CH2:61]1,CC1([CH3:1])CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(C[N+]2([O-])CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(C[N+]2([O-])CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1>>CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,[CH3:1][C:2]1([CH3:3])[CH2:4][CH2:5][C:6]([CH2:7][N+:8]2([O-])[CH2:9][CH2:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16](=[O:17])[NH:18][S:19](=[O:20])(=[O:21])[c:22]4[cH:23][cH:24][c:25]([NH:26][CH2:27][CH:28]5[CH2:29][CH2:30][O:31][CH2:32][CH2:33]5)[c:34]([N+:35](=[O:36])[O-:37])[cH:38]4)[c:39]([O:40][c:41]4[cH:42][n:43][c:44]5[nH:45][cH:46][cH:47][c:48]5[cH:49]4)[cH:50]3)[CH2:51][CH2:52]2)=[C:53]([c:54]2[cH:55][cH:56][c:57]([Cl:58])[cH:59][cH:60]2)[CH2:61]1>>[CH3:1][C:2]1([CH3:3])[CH2:4][CH2:5][C:6]([CH2:7][N:8]2[CH2:9][CH2:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16](=[O:17])[NH:18][S:19](=[O:20])(=[O:21])[c:22]4[cH:23][cH:24][c:25]([NH:26][CH2:27][CH:28]5[CH2:29][CH2:30][O:31][CH2:32][CH2:33]5)[c:34]([N+:35](=[O:36])[O-:37])[cH:38]4)[c:39]([O:40][c:41]4[cH:42][n:43][c:44]5[nH:45][cH:46][cH:47][c:48]5[cH:49]4)[cH:50]3)[CH2:51][CH2:52]2)=[C:53]([c:54]2[cH:55][cH:56][c:57]([Cl:58])[cH:59][cH:60]2)[CH2:61]1,CC1(C)CCC(C[N:1]2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)C(=O)C2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)C(=O)C2)=C(c2ccc(Cl)cc2)C1>>CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,[CH3:1][C:2]1([CH3:3])[CH2:4][CH2:5][C:6]([CH2:7][N:8]2[CH2:9][CH2:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16](=[O:17])[NH:18][S:19](=[O:20])(=[O:21])[c:22]4[cH:23][cH:24][c:25]([NH:26][CH2:27][CH:28]5[CH2:29][CH2:30][O:31][CH2:32][CH2:33]5)[c:34]([N+:35](=[O:36])[O-:37])[cH:38]4)[c:39]([O:40][c:41]4[cH:42][n:43][c:44]5[nH:45][cH:46][cH:47][c:48]5[cH:49]4)[cH:50]3)[C:51](=O)[CH2:52]2)=[C:53]([c:54]2[cH:55][cH:56][c:57]([Cl:58])[cH:59][cH:60]2)[CH2:61]1>>[CH3:1][C:2]1([CH3:3])[CH2:4][CH2:5][C:6]([CH2:7][N:8]2[CH2:9][CH2:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16](=[O:17])[NH:18][S:19](=[O:20])(=[O:21])[c:22]4[cH:23][cH:24][c:25]([NH:26][CH2:27][CH:28]5[CH2:29][CH2:30][O:31][CH2:32][CH2:33]5)[c:34]([N+:35](=[O:36])[O-:37])[cH:38]4)[c:39]([O:40][c:41]4[cH:42][n:43][c:44]5[nH:45][cH:46][cH:47][c:48]5[cH:49]4)[cH:50]3)[CH2:51][CH2:52]2)=[C:53]([c:54]2[cH:55][cH:56][c:57]([Cl:58])[cH:59][cH:60]2)[CH2:61]1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)[CH2:1]C2)=C(c2ccc(Cl)cc2)C1
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(O)C1,CC1(C)CC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(O)C1>>CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,[CH3:1][C:2]1([CH3:3])[CH2:61][C:53]([c:54]2[cH:55][cH:56][c:57]([Cl:58])[cH:59][cH:60]2)=[C:6]([CH2:7][N:8]2[CH2:9][CH2:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16](=[O:17])[NH:18][S:19](=[O:20])(=[O:21])[c:22]4[cH:23][cH:24][c:25]([NH:26][CH2:27][CH:28]5[CH2:29][CH2:30][O:31][CH2:32][CH2:33]5)[c:34]([N+:35](=[O:36])[O-:37])[cH:38]4)[c:39]([O:40][c:41]4[cH:42][n:43][c:44]5[nH:45][cH:46][cH:47][c:48]5[cH:49]4)[cH:50]3)[CH2:51][CH2:52]2)[CH:5](O)[CH2:4]1>>[CH3:1][C:2]1([CH3:3])[CH2:4][CH2:5][C:6]([CH2:7][N:8]2[CH2:9][CH2:10][N:11]([c:12]3[cH:13][cH:14][c:15]([C:16](=[O:17])[NH:18][S:19](=[O:20])(=[O:21])[c:22]4[cH:23][cH:24][c:25]([NH:26][CH2:27][CH:28]5[CH2:29][CH2:30][O:31][CH2:32][CH2:33]5)[c:34]([N+:35](=[O:36])[O-:37])[cH:38]4)[c:39]([O:40][c:41]4[cH:42][n:43][c:44]5[nH:45][cH:46][cH:47][c:48]5[cH:49]4)[cH:50]3)[CH2:51][CH2:52]2)=[C:53]([c:54]2[cH:55][cH:56][c:57]([Cl:58])[cH:59][cH:60]2)[CH2:61]1,CC1(C)CC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)[CH2:1]C1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)CN2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2S1,CC1(C)CN2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2S1>>CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,[CH3:1][C:2]1([CH3:3])[CH2:22][N:21]2[C:19](=[O:20])[C@@H:6]([NH:7][C:8](=[O:9])[C@H:10]([NH2:11])[c:12]3[cH:13][cH:14][c:15]([OH:16])[cH:17][cH:18]3)[C@H:5]2[S:4]1>>[CH3:1][C:2]1([CH3:3])[S:4][C@@H:5]2[C@H:6]([NH:7][C:8](=[O:9])[C@H:10]([NH2:11])[c:12]3[cH:13][cH:14][c:15]([OH:16])[cH:17][cH:18]3)[C:19](=[O:20])[N:21]2[C@H:22]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H:1]1C(=O)O
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,C[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(O)cc1,C[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(O)cc1>>CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,C[C@@H:10]([C:8](=[O:9])[NH:7][C@@H:6]1[C:19](=[O:20])[N:21]2[C@@H:22]([C:23](=[O:24])[OH:25])[C:2]([CH3:1])([CH3:3])[S:4][C@H:5]12)[c:12]1[cH:13][cH:14][c:15]([OH:16])[cH:17][cH:18]1>>[CH3:1][C:2]1([CH3:3])[S:4][C@@H:5]2[C@H:6]([NH:7][C:8](=[O:9])[C@H:10](N)[c:12]3[cH:13][cH:14][c:15]([OH:16])[cH:17][cH:18]3)[C:19](=[O:20])[N:21]2[C@H:22]1[C:23](=[O:24])[OH:25],CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(CO)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(CO)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O>>CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,[CH3:1][C:2]1([CH2:3]O)[S:4][C@@H:5]2[C@H:6]([NH:7][C:8](=[O:9])[C@H:10]([NH2:11])[c:12]3[cH:13][cH:14][c:15]([OH:16])[cH:17][cH:18]3)[C:19](=[O:20])[N:21]2[C@H:22]1[C:23](=[O:24])[OH:25]>>[CH3:1][C:2]1([CH3:3])[S:4][C@@H:5]2[C@H:6]([NH:7][C:8](=[O:9])[C@H:10]([NH2:11])[c:12]3[cH:13][cH:14][c:15]([OH:16])[cH:17][cH:18]3)[C:19](=[O:20])[N:21]2[C@H:22]1[C:23](=[O:24])[OH:25],CC1([CH3:1])S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)c(O)c3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)c(O)c3)C(=O)N2[C@H]1C(=O)O>>CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,[CH3:1][C:2]1([CH3:3])[S:4][C@@H:5]2[C@H:6]([NH:7][C:8](=[O:9])[C@H:10]([NH2:11])[c:12]3[cH:13][cH:14][c:15](O)[c:17]([OH:16])[cH:18]3)[C:19](=[O:20])[N:21]2[C@H:22]1[C:23](=[O:24])[OH:25]>>[CH3:1][C:2]1([CH3:3])[S:4][C@@H:5]2[C@H:6]([NH:7][C:8](=[O:9])[C@H:10]([NH2:11])[c:12]3[cH:13][cH:14][c:15]([OH:16])[cH:17][cH:18]3)[C:19](=[O:20])[N:21]2[C@H:22]1[C:23](=[O:24])[OH:25],CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3cc[c:1]([OH:1])[cH:1]c3)C(=O)N2[C@H]1C(=O)O
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(OC4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(OC4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc3)C(=O)N2[C@H]1C(=O)O>>CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,[CH3:1][C:2]1([CH3:3])[S:4][C@@H:5]2[C@H:6]([NH:7][C:8](=[O:9])[C@H:10]([NH2:11])[c:12]3[cH:13][cH:14][c:15]([O:16]C4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)[cH:17][cH:18]3)[C:19](=[O:20])[N:21]2[C@H:22]1[C:23](=[O:24])[OH:25]>>[CH3:1][C:2]1([CH3:3])[S:4][C@@H:5]2[C@H:6]([NH:7][C:8](=[O:9])[C@H:10]([NH2:11])[c:12]3[cH:13][cH:14][c:15]([OH:16])[cH:17][cH:18]3)[C:19](=[O:20])[N:21]2[C@H:22]1[C:23](=[O:24])[OH:25],CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc([OH:1])cc3)C(=O)N2[C@H]1C(=O)O
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CCC1(c2ccc(O)cc2)C(=O)NC(=O)NC1=O,CCC1(c2ccc(O)cc2)C(=O)NC(=O)NC1=O>>CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,[CH3:1][CH2:2][C:3]1([c:4]2[cH:5][cH:6][c:7](O)[cH:8][cH:9]2)[C:10](=[O:11])[NH:12][C:13](=[O:14])[NH:15][C:16]1=[O:17]>>[CH3:1][CH2:2][C:3]1([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[C:10](=[O:11])[NH:12][C:13](=[O:14])[NH:15][C:16]1=[O:17],CCC1(c2cc[cH:1]cc2)C(=O)NC(=O)NC1=O
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,Oc1cc(Br)c(O)c(Br)c1,Oc1cc(Br)c(O)c(Br)c1>>CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,[OH:13][c:14]1[cH:22][c:20]([Br:21])[c:18]([OH:19])[c:16]([Br:17])[cH:15]1>>CCC1Oc2ccccc2C1C(=[O:13])[c:14]1[cH:15][c:16]([Br:17])[c:18]([OH:19])[c:20]([Br:21])[cH:22]1,CCC1Oc2ccccc2C1C(=[O:1])[c:1]1cc(Br)c(O)c(Br)c1
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CCC1Oc2ccccc2C1C(=O)c1cc(O)c(O)c(Br)c1,CCC1Oc2ccccc2C1C(=O)c1cc(O)c(O)c(Br)c1>>CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,[CH3:1][CH2:2][CH:3]1[O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH:11]1[C:12](=[O:13])[c:14]1[cH:22][c:20](O)[c:18]([OH:19])[c:16]([Br:17])[cH:15]1>>[CH3:1][CH2:2][CH:3]1[O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH:11]1[C:12](=[O:13])[c:14]1[cH:15][c:16]([Br:17])[c:18]([OH:19])[c:20](Br)[cH:22]1,CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1
