name,substrate,predict_site
12,CCOc1ccc(NC(=S)N(CCO)Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1,CCOc1ccc(N[C:1](=S)N(CCO)Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1|CCOc1ccc(NC(=S)N(CCO)Cc2cc3cc([CH3:1])cc(C)c3[nH]c2=O)cc1|CCOc1ccc(NC(N(CCO)Cc2cc3cc(C)cc(C)c3[nH]c2=O)=[S:1])cc1|CCOc1ccc(NC(=S)N(CCO)Cc2cc3cc(C)cc([CH3:1])c3[nH]c2=O)cc1|CCOc1ccc(NC(N(CCO)Cc2cc3cc(C)cc(C)c3[nH]c2=O)=[S:1])cc1|CCOc1ccc(NC(=S)N(CC[OH:1])Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1|CCOc1ccc(NC(=S)N(CC[OH:1])Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1
13,COc1ccc2c(Oc3ccc(C4(C(=O)NO)CCOCC4)cc3)ccnc2n1,COc1ccc2c(Oc3ccc(C4(C(=O)N[OH:1])CCOCC4)cc3)ccnc2n1|COc1ccc2c(Oc3ccc(C4(C(=O)N[OH:1])CCOCC4)cc3)ccnc2n1|COc1ccc2c(Oc3ccc(C4(C(=O)N[OH:1])CCOCC4)cc3)ccnc2n1|COc1ccc2c(Oc3ccc(C4(C(=O)N[OH:1])CCOCC4)cc3)ccnc2n1|COc1ccc2c(Oc3ccc(C4(C(=O)N[OH:1])CCOCC4)cc3)ccnc2n1
14,C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,C/C=C/C#CC#CC(O)C(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)/[CH:1]=C/CCCO|C/C=C/C#CC#CC(O)[CH:1](OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)/[CH:2]=C/CCCO|C/C=C/C#CC#CC(O)C(/C=C/CCCO)O[CH:1]1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(CO[CH:1]2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CCCO)O[CH:1]1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)/[CH:1]=C/CCCO|C/C=C/C#CC#CC(O)[CH:1](OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)/[CH:2]=C/CCCO|C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC([CH2:1]OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/[CH:2]=[CH:1]/C#CC#CC(O)C(/C=C/CCCO)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O|C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(CO[CH:1]2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
15,Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)CC2)s1,O=S(=O)(c1cnc([CH3:1])s1)N1CCC(c2cn3ncnc3cc2Cl)CC1|Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)C[CH2:1]2)s1|Cc1ncc(S(=O)(=O)N2CCC(c3cn4n[cH:1]nc4cc3Cl)CC2)s1|Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4[cH:2][c:1]3Cl)CC2)s1|Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)C[CH2:1]2)s1|Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)[CH2:1]C2)s1|Cc1ncc(S(=O)(=O)N2CCC([c:2]3c(Cl)cc4ncnn4[cH:1]3)CC2)s1|C[c:1]1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)CC2)s1
16,COc1ccc(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,COc1ccc(CCCCOC2OC(C[OH:1])[C@@H](O)[C@H](O)[C@H]2O)cc1|COc1ccc([CH2:1]CCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)cc1|COc1ccc(CCC[CH2:1]OC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)cc1|COc1ccc(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)c[cH:1]1|COc1ccc(CCCCOC2OC(C[OH:1])[C@@H](O)[C@H](O)[C@H]2O)cc1|COc1ccc(CCCCOC2OC(C[OH:1])[C@@H](O)[C@H](O)[C@H]2O)cc1|COc1ccc(CCCCOC2OC(C[OH:1])[C@@H](O)[C@H](O)[C@H]2O)cc1
17,O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,O=C(O)C1O[CH:1](Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O|O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c([OH:1])c2O)C(O)C(O)C1O|O=C(O)C1OC(Oc2cc3oc(-c4ccc([OH:1])cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O|O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2[OH:1])C(O)C(O)C1O|O=C(O)C1OC(Oc2cc3oc(-c4ccc([OH:1])cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O|O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c([OH:1])c2O)C(O)C(O)C1O|O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)C([OH:1])C(O)C1O|O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2[OH:1])C(O)C(O)C1O|O=C(O)C1OC(Oc2cc3oc(-c4ccc([OH:1])cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O
18,CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1,CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CN[CH2:1][C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1|CN1CCC[C@@H](O[C:1](=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1|CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc([CH2:1]NC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1|CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4c5ccc(=O)[nH]c5c(O)c[cH:1]4)cc3)c2)C1|CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(O[CH2:1]CCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1|CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCC[CH2:1]NC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1
19,CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1,C[C@@H](C[CH3:1])C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1|CC[C@@H](C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1)[CH3:1]|CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2cc(F)c(OC(F)(F)F)c[cH:1]2)CC1|CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2cc(F)c(OC(F)(F)F)[cH:1]c2)CC1|CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)C[CH2:1]1|CC[C@H](C)C(=O)N1CCC(N[C:1](=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1
20,CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1[C:1](=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)Cc1ccc[s:1]1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)[C:1](N)=O|CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCN[C:1](=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H:1](CCCNC(=N)N)C(N)=O|CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)[C:1](=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)[C:1](=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O|CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)[C:1](=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O
21,CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)C1,CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4[C:1](=O)C3CC3)CC2N(C)C1|CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)[CH2:1]C2N(C)C1|CCN(CC)[C:1](=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)C1|CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)[CH2:1]1|CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)C[CH:1]2N(C)C1|CCN(C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)C1)[CH2:1]C|CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4[C:1](=O)C3CC3)CC2N(C)C1
22,COc1c([C@H]2C(C(=O)Nc3ccnc(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F,COc1c([C@H]2C([C:1](=O)Nc3ccnc(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F|COc1c([C@H]2C(C(=O)Nc3cc[n:1]c(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F|COc1c([C@H]2C(C(=O)Nc3cc[n:1]c(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F|COc1c([C@H]2C(C(=O)Nc3ccnc([C:1](N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F|COc1c([C@H]2C(C(=O)Nc3ccnc(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)cc[c:1](F)c1F|COc1c([C@H]2C([C:1](=O)Nc3ccnc(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F|COc1c([C@H]2C(C(=O)Nc3ccnc(C(N)=O)c3)O[C@](C(F)(F)F)([CH3:1])[C@H]2C)ccc(F)c1F
23,CCN(CC)CCc1c[nH]c2cccc(OC(C)=O)c12,CCN(CC)CCc1c[nH]c2cc[cH:1]c(OC(C)=O)c12|CCN(CC)CCc1c[nH]c2c1c(OC(C)=O)cc[cH:1]2|CC[N:1](CC)CCc1c[nH]c2cccc(OC(C)=O)c12|CC[N:1](CC)CCc1c[nH]c2cccc(OC(C)=O)c12|CCN(CC)[CH2:1]Cc1c[nH]c2cccc(OC(C)=O)c12|CCN(CC)CCc1c[nH:1]c2cccc(OC(C)=O)c12|CCN(CC)CCc1c[nH]c2cccc(OC(=O)[CH3:1])c12
