Molecule ID,SMILES,Metabolites
11,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(O)=N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 NC1(C(O)=N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1O NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCNCC1 NC1(C(=O)NC(CC=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 NC1(C(=O)O)CCN(c2ncnc3c2ccn3C2OC(C(=O)O)C(O)C2O)CC1 NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]cc(O)c23)CC1 NC1(C(=O)NC(CCO)c2ccc(Cl)cc2)CCNCC1 NC1(C(=O)N[C@@H](CC=O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 NC1(C(=O)N[C@@H](CC(=O)O)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 CC(=O)NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 NC1(C(=O)O)CCN(c2ncnc3[nH]ccc23)CC1 NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1O NC1(C(=O)N[C@@H](CCOC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c2ccc(Cl)cc2)CCNCC1
12,CCOc1ccc(NC(=S)N(CCO)Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1,CCOc1ccc(N=C2SCCN2Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1 CCOc1ccc(N2C(=O)CN(Cc3cc4cc(C)cc(C)c4[nH]c3=O)C2=S)cc1 CCOc1ccc(NC2=Nc3c(C)cc(C)cc3C2)cc1 Cc1cc(C)c2[nH]c(=O)c(CNC(=S)Nc3ccc(O)cc3)cc2c1 CCOc1ccc(NC(=O)N(CCO)Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1 Cc1cc(C)c2[nH]c(=O)c(CN(CCO)C(=S)Nc3ccc(O)cc3)cc2c1 CCOc1ccc(N2C(=O)N(Cc3cc4cc(C)cc(C)c4[nH]c3=O)C2O)cc1 CCOc1ccc(N2CCSC2=Nc2c(C)cc(C)cc2C)cc1 CCOc1ccc(N2CCSC2=NCc2cc3cc(C)cc(C)c3[nH]c2=O)cc1 CCOc1ccc(NC2=Nc3c(C)cc(C)cc3CN2CCO)cc1 CCOc1ccc(N2CCSS2=Nc2cc3cc(C)cc(C)c3[nH]c2=O)cc1 CCOc1ccc(NC(=S)NCc2cc3cc(C)cc(C)c3[nH]c2=O)cc1O CCOc1ccc(NC(=S)N(CCO)Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1O CCOc1ccc(NC(=S)NCCO)cc1 CCOc1ccc(N2C(=O)N(Cc3cc4cc(C)cc(C)c4[nH]c3=O)C2=S)cc1 CCOc1ccc(NC(=S)N(CCO)Cc2cc3cc(CO)cc(C)c3[nH]c2=O)cc1 CCOc1ccc(NC(=S)N(CCO)Cc2c[nH]c3c(C)cc(C)cc3c2=O)cc1 CCOc1ccc(N2CCSS2=Nc2cc3cc(C)cc(C)c3[nH]c2=O)cc1O CCOc1ccc(NC(=S)NCc2cc3cc(C)cc(C)c3[nH]c2=O)cc1 CCOc1ccc(NC(=S)N(CCO)Cc2cc3cc(C)cc(CO)c3[nH]c2=O)cc1
13,COc1ccc2c(Oc3ccc(C4(C(=O)NO)CCOCC4)cc3)ccnc2n1,COc1ccc2c(Oc3ccc(C4(C(=O)NOC5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CCOCC4)cc3)ccnc2n1 O=C(O)C1(c2ccc(Oc3ccnc4nc(O)ccc34)cc2)CCOCC1 O=C(NO)C1(c2ccc(Oc3ccnc4nc(O)ccc34)cc2)CCOCC1 COc1ccc2c(Oc3ccc(C4(C(O)=NO)CCOCC4)cc3)ccnc2n1 COc1ccc2c(Oc3ccc(C4(C(=O)O)CCOCC4)cc3)ccnc2n1 COc1ccc2c(Oc3ccc(C4(C(=O)NOC5OC(C(=O)O)C(O)C(O)C5O)CCOCC4)cc3)ccnc2n1 O=C(NO)C1(c2ccc(Oc3ccnc4[nH]c(=O)ccc34)cc2)CCOCC1 COc1ccc2c(O)ccnc2n1
14,C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(CO)C(O)C(O)C1O C/C=C/C#C/C=C/C(O)C(/C=C/CCCO)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O C/C=C\C#CC(O)C(/C=C/CCCO)OC1OC(CO)C(O)C(O)C1O C/C=C/C#C/C=C/C(O)C(C=CCCCO)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O C/C=C\C#CC(O)C(O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O C/C=C\C#C/C=C\C(O)C(/C=C/CCCO)OC1OC(CO)C(O)C(O)C1O C/C=C\C#CC(O)C(O)/C=C/CCC(O)OC1OC(CO)C(O)C(O)C1O C/C=C\C#CC#CC(O)C(O)COC1OC(CO)C(O)C(O)C1O C/C=C\C#CC(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O C/C=C/C#CC#CC(O)C(/C=C/CCC=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O C/C=C\C#CC#CC(O)C(/C=C/CCCO)OC1OC(CO)C(O)C(O)C1O OCC1OC(O)C(O)C(O)C1O C/C=C/C#C/C=C/C(O)C(/C=C/CCCO)OC1OC(CO)C(O)C(O)C1O C/C=C\C#C/C=C\CC(O)C(/C=C/CCCO)OC1OC(CO)C(O)C(O)C1O C/C=C/C#C/C=C/C(O)C(/C=C/CCC(=O)O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O C/C=C/C#CC#CC(O)C(/C=C/CCC(=O)O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O C/C=C\C#CC(O)C(O)/C=C/CCC(O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O OC/C=C/C#C/C=C/C#CC(O)C(O)/C=C/CCCO C/C=C/C#CC(O)C(/C=C/CCCO)OC1OC(CO)C(O)C(O)C1O
15,Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)CC2)s1,Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)CC2O)s1 Clc1cc2ncnn2cc1C1CCNCC1 Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)C(O)C2)s1 Cc1ncc(S(=O)(=O)N2CCC(c3c[nH]c(=O)[nH]c3=S)CC2)s1 Cc1ncc(S(=O)(=O)N2CCC(c3c[nH]c(=O)[nH]c3=O)CC2)s1 O=S(=O)(c1cncs1)N1CCC(c2cn3ncnc3cc2Cl)CC1 Cc1ncc(S(=O)(=O)N2CCC(c3cn4nc(O)nc4cc3Cl)CC2)s1 O=S(=O)(c1cnc(CO)s1)N1CCC(c2cn3ncnc3cc2Cl)CC1
16,COc1ccc(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,OCCCCOC1OC(CO)C(O)C(O)C1O COc1ccc(CCCCOC2OC(CO)C(O)C(OS(=O)(=O)O)C2O)cc1 OCCCCc1ccc(O)cc1 COc1ccc(CCCCO)cc1 COc1ccc(CCCCOC2OC(CO)C(O)C(OS(=O)(=O)[O-])C2O)cc1 OCC1OC(O)[C@H](O)[C@@H](O)[C@@H]1O COc1ccc(CCCCO)cc1O OCC1OC(O)C(O)C(O)C1O OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
17,O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,O=C(O)C1OC(OC2C(O)C(O)C(O)C(O)C2O)C(O)C(O)C1O O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)c(O)c4)cc(=O)c3c(O)c2O)C(O)C(O)C1=O COc1cc(-c2cc(=O)c3c(OC4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3o2)ccc1OS(=O)(=O)O O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12 COc1cc(-c2cc(=O)c3c(OC4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cc(O)cc3o2)ccc1O O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)c(O)c4)cc(=O)c3c(O)c2O)C(O)C(O)C1O O=C(O)C1OC(O)C(O)C(O)C1O O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2OC2OC(C(=O)O)C(O)C(O)C2O)C(O)C(O)C1O O=C(O)C1OC(Oc2cc3oc(-c4ccc(OS(=O)(=O)O)cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O O=c1cc(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c12
18,CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1,O=C(NCCCOc1cccc([C@](O)(C(=O)O)c2cccc(OCCCNC(=O)c3ccc(O)c4[nH]c(=O)ccc34)c2)c1)c1ccc(CNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)cc1 C[N+]1([O-])CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5nc(O)ccc45)cc3)c2)C1 O=C(NCCCOc1cccc([C@@](O)(C(=O)O)c2cccc(O)c2)c1)c1ccc(CNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)cc1 CN1CCC[C@H](C(=O)O)OC(=O)[C@](O)(c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1 CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(OC5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)c5[nH]c(=O)ccc45)cc3)c2)C1 CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1O O=C(NCCCOc1cccc(C(O)(C(=O)O)c2ccccc2)c1)c1ccc(CNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)cc1 C[N+]1([O-])CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1 C[N+]1([O-])CCC[C@@H](OC(=O)[C@@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1 O=C(NCCCOc1cccc([C@](O)(C(=O)O[C@@H]2CCCNC2)c2ccccc2)c1)c1ccc(O)c2[nH]c(=O)ccc12 O=C(O)c1ccc(CNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)cc1 C[N+]1([O-])CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1 O=C(NCCCOc1cccc([C@@](O)(C(=O)O)c2ccccc2)c1)c1ccc(CNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)cc1 CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)c5[nH]c(=O)ccc45)cc3)c2)C1
19,CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1,CC(O)C(C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1 CCC(C)C(=O)N1CCC(NC(=O)N(c2ccc(OC(F)(F)F)c(F)c2)[C@@H]2O[C@H]2C(=O)O)CC1 CCC(C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1O CC[C@H](C)C(=O)N1CCC(NC(=O)N(c2ccc(OC(F)(F)F)c(F)c2)[C@@H]2O[C@H]2C(=O)[O-])CC1 CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2cc(F)c(OC(F)(F)F)cc2O)CC1 O=C(Nc1ccc(OC(F)(F)F)c(F)c1)NC1CCNCC1 CC(O)[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1 CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1O CCC(C)(O)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1 C/C=C(\C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1 CCC(C)C(=O)N1CCC(NC(=O)N(c2ccc(OC(F)(F)F)c(F)c2)[C@@H]2O[C@H]2C(=O)NCC(=O)O)CC1 C[C@H](C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1)[C@@H](C)O
20,CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O CN(C(=O)Cc1cccs1)C(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O N=C(N)NCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)O CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O CN(C(=O)Cc1cccs1)C(Cc1c[nH]c2ccccc12)C(=O)NC(CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O CN(C(=O)Cc1cccs1)C(Cc1c[nH]c2ccccc12)C(=O)NC(C)(Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O[C@@H](CCCNC(=N)N)C(N)=O CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O CC(C)(Cc1ccccc1)NC(=O)[C@@H](N)CCCNC(=N)N N=C(N)NCCC[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)Cc1cccs1)C(=O)N1CCC[C@@H]1C(=O)O CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)O
21,CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)C1,CCN(CC)C(=O)C1C=C2c3cccc4c(cn(C(=O)C5CC5)c34)CC2NC1 CCN(CC)C(=O)C1=CC2c3cccc4c3c(cn4C(=O)C3CC3)CC2NC1 CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2NC1 CCNC(=O)C1=CC2c3cccc4[nH]cc(c34)CC2N(C)C1 CCNC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1 CCNC(=O)C1=CC2c3cccc4c3c(cn4C(=O)C3CC3)CC2NC1 CCN(CC)C(=O)C1=CC2c3cccc4[nH]cc(c34)CC2N(C)C1 CCN(CC)C(=O)C1C=C2c3cccc4c3C(CN4)CC2N(C)C1 CCN(CC)C(=O)C1CC2c3cccc4[nH]cc(c34)CC2N(C)C1 CCNC(=O)C1C=C2c3cccc4[nH]c(C5CC5)c(c34)CC2N(C)C1 CCNC(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)C1 CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2(C)C1 CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1 CCNC(=O)C1=CC2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)C1
22,COc1c([C@H]2C(C(=O)Nc3ccnc(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F,C[C@@H]1[C@H](C(=O)Nc2ccnc(C(N)=O)c2)O[C@@](C)(C(F)(F)F)[C@H]1c1ccc(F)c(F)c1O C[C@H]1[C@H](c2ccc(F)c(F)c2O)[C@H](C(=O)Nc2ccnc(C(N)=O)c2)O[C@H]1C(F)(F)F C[C@@H]1[C@H](c2ccc(F)c(F)c2O)[C@H](C(=O)Nc2ccnc(C(N)=O)c2)O[C@H]1C(F)(F)F CC1C(c2ccc(F)c(F)c2O)C(C(=O)Nc2ccnc(C(N)=O)c2)OC1(C)C(F)(F)F C[C@H]1[C@@H](c2ccc(F)c(F)c2O)[C@@H](C(=O)Nc2ccnc(C(N)=O)c2)O[C@@]1(C)C(F)(F)F CC1C(c2ccc(F)c(F)c2O)C(C(=O)Nc2ccnc(C(N)=O)c2)OC1C(F)(F)F C[C@H]1[C@H](c2ccc(F)c(F)c2O)[C@@H](C(=O)Nc2ccnc(C(N)=O)c2)O[C@@]1(C)C(F)(F)F C[C@@H]1[C@H](c2ccc(F)c(F)c2O)C(C(=O)Nc2ccnc(C(N)=O)c2)OC1(C)C(F)(F)F C[C@@H]1O[C@H](C(=O)Nc2ccnc(C(N)=O)c2)[C@@H](c2ccc(F)c(F)c2O)[C@H]1C(F)(F)F C[C@@H]1[C@H](c2ccc(F)c(F)c2O)[C@@H](C(O)=Nc2ccnc(C(N)=O)c2)OC1(C)C(F)(F)F C[C@@H]1[C@@H](C(=O)Nc2ccnc(C(=N)O)c2)O[C@@](C)(C(F)(F)F)[C@@H]1c1ccc(F)c(F)c1O C[C@H]1[C@@H](c2ccc(F)c(F)c2O)[C@](C)(C(F)(F)F)O[C@H]1C(=O)Nc1ccnc(C(N)=O)c1 C[C@@H]1C(c2ccc(F)c(F)c2O)C(C(=O)Nc2ccnc(C(N)=O)c2)O[C@@]1(C)C(F)(F)F CC1C(C(=O)Nc2ccnc(C(N)=O)c2)OC(C)(C(F)(F)F)C1c1ccc(F)c(F)c1O C[C@H]1[C@@H](c2ccc(F)c(F)c2O)C(C(=O)Nc2ccnc(C(N)=O)c2)O[C@@]1(C)C(F)(F)F C[C@H]1[C@H](c2ccc(F)c(F)c2O)[C@@H](C(=O)Nc2ccnc(C(N)=O)c2)OC1(C)C(F)(F)F C[C@@H]1[C@H](c2ccc(F)c(F)c2O)C(C(=O)Nc2ccnc(C(N)=O)c2)O[C@@]1(C)C(F)(F)F C[C@@H]1[C@H](c2ccc(F)c(F)c2O)[C@@H](C(=O)Nc2ccnc(C(N)=O)c2)O[C@@]1(C)C(F)(F)F C[C@H]1[C@@H](c2ccc(F)c(F)c2O)[C@](C)(C(F)(F)F)O[C@]1(O)C(=O)Nc1ccnc(C(=N)O)c1 C[C@@H]1[C@H](c2ccc(F)c(F)c2O)[C@@H](C(=O)Nc2ccnc(C(N)=O)c2)OC1(C)C(F)(F)F COc1cc(F)ccc1[C@H]1C(C(=O)Nc2cc[n+]([O-])c(C(N)=O)c2)O[C@@](C)(C(F)(F)F)[C@H]1C C[C@H]1[C@H](c2ccc(F)c(F)c2O)C(C(=O)Nc2ccnc(C(N)=O)c2)O[C@@]1(C)C(F)(F)F C[C@H]1[C@@H](c2ccc(F)c(F)c2O)[C@@H](C(=O)Nc2ccnc(C(N)=O)c2)O[C@]1(C)C(F)(F)F CC1C(c2ccc(F)c(F)c2O)C(C(O)=Nc2ccnc(C(N)=O)c2)OC1C(F)(F)F C[C@@H]1[C@@H](C(=O)Nc2ccnc(C(=N)N)c2)O[C@@](C)(C(F)(F)F)[C@@H]1c1ccc(F)c(F)c1O
23,CCN(CC)CCc1c[nH]c2cccc(OC(C)=O)c12,CCN(CC)CCc1c[nH]c2cccc(O)c12 Oc1cccc2[nH]ccc12 CC[N+]([O-])(CC)CCc1c[nH]c2cccc(O)c12 CCN(CC)CCc1c[nH]c2ccc(O)cc12 CCN(CC)CCc1c[nH]c2ccc(O)c(O)c12 CCNCCc1c[nH]c2cccc(O)c12 CC[N+](CC)(CC)CCc1c[nH]c2cccc(O)c12 CCN(CC)CCc1c[nH]c2cc(O)cc(O)c12 CCNCCc1c[nH]c2cccc(OC(C)=O)c12
24,N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)NCc3ccc(C(F)(F)F)cc3)c2)C1,N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@H]3C(=O)NCc3ccc(C(F)(F)F)cc3)c2)C1O N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)O)c2)C1 N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3[C@@H](O)C[C@@H]3C(=O)NCc3ccc(C(F)(F)F)cc3)c2)C1 N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@H]3C(=O)O)c2)C1 N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3[C@@H](O)CC[C@@H]3C(=O)NCc3ccc(C(F)(F)F)cc3)c2)C1 N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@H]3C(=O)NC(O)c3ccc(C(F)(F)F)cc3)c2)C1 N#CC1(O)CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)NCc3ccc(C(F)(F)F)cc3)c2)C1 N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)NCc3ccc(C(F)(F)F)cc3O)c2)C1 N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(O)=NCc3ccc(C(F)(F)F)cc3)c2)C1 N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@H]3C(=O)OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c2)C1 N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)NC(O)c3ccc(C(F)(F)F)cc3)c2)C1 N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)NCc3ccc(C(F)(F)F)cc3)c2)C1O
25,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,C[C@H](N[P@@](=O)(O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)C(=O)O N#C[C@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O N#C[C@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O N#C[C@]1(c2ccc3c(N)ncnn23)O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]1O N#CC1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O CCC(CC)COC(=O)[C@H](C)NP(=O)(O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O CCC(CC)COC(=O)[C@H](C)NP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O C[C@H](N[P@@](=O)(O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)C(=O)[O-] CC(N[P@@](=O)(O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)C(=O)O N#CC1(c2ccc3c(N)ncnn23)OC(COP(=O)(O)O)C(O)C1O C[C@@H](N[P@@](=O)(O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)C(=O)O C[C@@H](N[P@@](=O)(O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)C(=O)[O-] CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O N#C[C@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O N#CC1(c2ccc3c(N)ncnn23)OC(COP(=O)(O)O)[C@@H](O)[C@H]1O N#CC1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
