Name,SMILES,predictions
11,NC1(C(=O)N[C@@H](CCO)C2=CC=C(Cl)C=C2)CCN(C2=NC=NC3=C2C=CN3)CC1,NC1(C(=O)N[C@@H](CC(=O)O)C2=CC=C(Cl)C=C2)CCN(C2=NC=NC3=C2C=CN3)CC1 NC1(C(=O)N[C@@H](CCO)C2=CC=C(Cl)C=C2)CCN(c2ncnc3c2C=CN3)CC1 NC1(C(=O)N[C@@H](CCO)C2=CC=C(Cl)C=C2)CCN(C2=NC(O)NC3=C2C=CN3)CC1 NC1(C(=O)N[C@@H](CCOC2OC(C(=O)O)C(O)C(O)C2O)C2=CC=C(Cl)C=C2)CCN(C2=NC=NC3=C2C=CN3)CC1 NC1(C(=O)N[C@@H](CCO)C2=CC=C(Cl)C=C2)CCN(C2=NC=NC3=C2C=CN3O)CC1
12,CCOC1=CC=C(NC(=S)N(CCO)C/C2=C/C3=CC(C)=CC(C)=C3NC2=O)C=C1,CCOC1=CC=C(NC(=S)NC/C2=C/C3=CC(C)=CC(C)=C3NC2=O)C=C1 CCOC1=CC=C(NC(=S)N(CCO)CC2=CC3=CC(C)=CC(C)=C3NC2=O)C2OC12 CCOC1=CC=C(NC(=S)N(CCOC2OC(C(=O)O)C(O)C(O)C2O)C/C2=C/C3=CC(C)=CC(C)=C3NC2=O)C=C1 CC1=CC(C)=C2NC(=O)C(CN(CCO)C(=S)NC3=CC=C(O)C=C3)=CC2=C1 CCOC1=CC=C(NC(=S)N(CCO)C/C2=C/C3=CC(CO)=CC(C)=C3NC2=O)C=C1
13,COC1=C\C=C2\C(OC3=CC=C(C4(C(=O)NO)CCOCC4)C=C3)=CC=N\C2=N\1,COC1=CC=C2C(OC3=CC=C(C4(C(=O)NO)CCOCC4)C=C3)=CC=NC2=N1 COC1=CC=C2C(OC3=CC=C(C4(C(=O)NOC5OC(C(=O)O)C(O)C(O)C5O)CCOCC4)C=C3)=CC=NC2=N1 O=C(NO)C1(C2=CC=C(O)C=C2)CCOCC1 COC1=CC=C2C(OC3=CC=C(C4(C(=O)N(O)O)CCOCC4)C=C3)=CC=NC2=N1 COC1=CC=C2C(Oc3ccc(C4(C(=O)NO)CCOCC4)cc3)=CC=NC2=N1
14,C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O C/C=C/C#CC#CC(O)C(/C=C/CCC(=O)O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(CO)C(O)C(O)C1O C/C=C/C#CC#CC(O)C(/C=C/CCCOC1OC(CO)C(O)C(O)C1O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O C/C=C/C#CC#CC(O)C(/C=C/CCC=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
15,CC1=NC=C(S(=O)(=O)N2CCC(C3=C/N4N=CN=C4/C=C\3Cl)CC2)S1,CC1=NC=C(S(=O)(=O)N2CCC(C3=Cn4ncnc4C=C3Cl)CC2)S1 CC1=NC=C(S(=O)(=O)N2CCC(C3(O)CN4N=CN=C4C=C3Cl)CC2)S1 CC1=NC=C(S(=O)(=O)N2CCC(C3=CN4N=CNC4(O)C=C3Cl)CC2)S1
16,COC1=CC=C(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,COc1ccc(CCCCOC2OC(CO)C(O)C(O)C2O)cc1 COC1=CC=C(CCCCOC2OC(CO)C(O)C(O)C2O)C2OC12 COC1=CC=C(CCCCO)C=C1 OCC1=CC=C(CCCCOC2OC(CO)C(O)C(O)C2O)C=C1 COC1=CC=C(CCCCOC2OC(COC3OC(C(=O)O)C(O)C(O)C3O)C(O)C(O)C2O)C=C1
17,O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C(OC1OC(C(=O)O)C(O)C(O)C1O)=C2,O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C(OC1OC(C(=O)O)C(O)C(O)C1O)=C2 O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C(OC1OC(C(=O)O)C(O)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O)=C2 O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(OC1OC(C(=O)O)C(O)C(O)C1O)C(OC1OC(C(=O)O)C(O)C(O)C1O)=C2 O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C(O)=C2 O=C1C=C(C2=CC=C(O)C=C2)OC2=C1C(O)=C(O)C=C2
18,CN1CCC[C@@H](OC(=O)[C@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)C1,O=C1C=CC2=C(C=CC(=O)NCCCOC3=CC=CC([C@@](O)(C(=O)O)C4=CC=CC=C4)C=C3)C=CC(O)C2=C1 C[N+]1([O-])CCC[C@@H](OC(=O)[C@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)C1 CN1CCC[C@@H](OC(=O)[C@@](O)(C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)C2=CC3OC3C=C2)C1 CN1CCC[C@@H](OC(=O)[C@](O)(C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CCC2O)C1 CN1CCC[C@@H](OC(=O)[C@@H](C2=CC=CC=C2)C2=CC(OCCCNC(=O)C3=CC=C(CNC[C@H](O)C4=C5C=CC(=O)NC5=C(O)C=C4)C=C3)=CC=C2)C1
19,CC[C@H](C)C(=O)N1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)CC1,CC[C@H](C)C(=O)N1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)CC1O CC(O)[C@H](C)C(=O)N1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)CC1 CC(O)[C@@H](C)C(=O)N1CCC(NC(=O)NC2=CC=C(OC(F)(F)F)C(F)=C2)CC1 CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1 CC[C@H](C)C(=O)N1CCC(N)CC1
20,CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,CN(C(=O)CC1=CCC(O)S1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CC[C@@H](O)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O CN(C(=O)CC1=CC=CS1)[C@@H](CC1=CC=CC=C1)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O CN(C(=O)CC1=CC=CS1)[C@@H](C/C1=C/NC2=CC=CC=C21)C(=O)N[C@@](C)(CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)O
21,CCN(CC)C(=O)C1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)C3CC3)CC2N(C)C1,CCNC(=O)C1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)C3CC3)CC2N(C)C1 CCN(CC)C(=O)C1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)C3CC3)CC2NC1 CCN(CC)C(=O)C1/C=C2/C3=CC=CC4=C3C(=CN4)CC2N(C)C1 CCN(CC)C(=O)C1/C=C2/C3=CC=CC4=C3C(=CN4C(=O)C3(O)CC3)CC2N(C)C1 CCN(CC)C(=O)C1/C=C2/C3=CC4OC4C4=C3C(=CN4C(=O)C3CC3)CC2N(C)C1
22,COC1=C([C@H]2C(C(=O)NC3=CC=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1F,COC1=C([C@H]2C(C(=O)NC3=CC=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)C1F COC1=C([C@H]2C(C(=O)NC3=CC=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)[C@@H](O)CC(F)=C1F COC1=C([C@H]2C(C(=O)NC3=CC=NC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1F COC1=C([C@H]2C(C(=O)NC3=CCNC(C(N)=O)=C3)O[C@@](C)(C(F)(F)F)[C@H]2C)C=CC(F)=C1F
23,CCN(CC)CCC1=CNC2=C1C(OC(C)=O)=CC=C2,CCN(CC)CCC1=CNC2=C1C(OC(C)=O)=CCC2O CCNCCC1=CNC2=C1C(OC(C)=O)=CC=C2 CCN(CC)CCc1c[nH]c2c1C(OC(C)=O)=CC=C2 CCN(CC)CCC1=CNC2=C1C(O)=CC=C2 CCN(CC)CCC1=CNC2=C1C(OC(C)=O)=CC(O)=C2
24,N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=CC=C2)C1,N#CC1CNC(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=CC=C2)C1 N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)c2)C1 N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=CC=C2)C1O N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=CCC2O)C1 N#CC1CN(S(=O)(=O)C2=CC(C(=O)N3CCC[C@@H]3C(=O)NCC3=CC=C(C(F)(F)F)C=C3)=CC=C2O)C1
25,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)OC1=CC=CC=C1,C[C@H](N[P@@](=O)(O)OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)C(=O)O CCC(CC)COC(=O)[C@H](C)N[P@@](=O)(O)OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O C[C@H](N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1O)OC1=CC=CC=C1)C(=O)O CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(/C2=C/C=C3/C(N)=NC=NN32)[C@H](O)[C@@H]1OS(=O)(=O)O)OC1=CC=CC=C1 CCC(CC)COC(=O)[C@H](C)N
26,[H][C@@]1(N2CC3=C(C=CC=C3OCC3=CC=C(CN4CCOCC4)C=C3)C2=O)CCC(=O)NC1=O,
27,CNC(C)CC1=CC=C2OCOC2=C1,CNC(C)CC1=CC=C(O)C(O)=C1 CNC(C)Cc1ccc2c(c1)OCO2 CNC(C)CC1=CC=C(OCO)C(O)C1 CNC(C)CC1=CC=C2OC(O)OC2=C1 CNC(C)CC1=CC=C(OC)C(O)=C1
28,CN1C=NC2=C1C(=O)N(CC1=NC([C@@H]3CO[C@@H](C4=CC=C(Cl)C=C4)C3)=NO1)C=N2,CN1C=NC2=C1C(=O)N(C[C@H]1NC([C@@H]3CO[C@@H](C4=CC=C(Cl)C=C4)C3)=NO1)C=N2 CN1C=NC2=C1C(=O)N(CC1=NC([C@@H]3CO[C@@H](C4=CC=C(Cl)C=C4)C3)=NO1)C(O)=N2 CN1C=NC2=C1C(=O)N(CC1=NC([C@@H]3CO[C@@H](C4=CC=C(Cl)C=C4)C3)=NO1)C(=O)N2 C[N+]1([O-])C=NC2=C1C(=O)N(CC1=NC([C@@H]3CO[C@@H](C4=CC=C(Cl)C=C4)C3)=NO1)C=N2 CN1C=NC2=C1C(=O)N(CC1=NC([C@@H]3CO[C@@H](c4ccc(Cl)cc4)C3)=NO1)C=N2
29,CC1OC(OC2C(OC(=O)[C@]34CCC(C)(C)CC3C3=CCC5[C@@]6(C)C[C@H](O)[C@H](OC7OC(CO)C(O)C(O)C7O)C(CO)(CO)C6CC[C@@]5(C)[C@]3(C)C[C@H]4O)OCC(O)C2O)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)C2(O)CO)C1O,CC1OC(OC2C(OC(=O)[C@]34CCC(C)(C)CC3C3=CCC5[C@@]6(C)C[C@H](O)[C@H](O)C(CO)(CO)C6CC[C@@]5(C)[C@]3(C)C[C@H]4O)OCC(O)C2O)C(O)C(O)C1OC1OCC(O)C(O)C1O CC1OC(OC2C(OC(=O)[C@]34CCC(C)(C)CC3C3=CCC5[C@@]6(C)C[C@H](O)[C@H](OC7OC(CO)C(O)C(O)C7O)C(CO)(CO)C6CC[C@@]5(C)[C@]3(C)C[C@H]4O)OCC(O)C2O)C(O)C(O)C1OC1CC(O)C(O)CO1 CC1(C)CC[C@]2(C(=O)OC3C(CC(O)C(OC4OCC(O)C(O)C4O)C(O)C3O)C3=CCC4[C@@]5(C)CC(O)C(O)C5CC[C@@]4(C)[C@]3(C)C[C@H]2O)C(O)C1
30,O=C(C1=CC=CN=C1C1=CC=NC=C1)N1CCC(O)(CC2=CC=CC=C2)CC1,O=C(C1=CC=CN=C1C1=CC=NC=C1)N1CCC(O)(Cc2ccccc2)CC1 O=C(C1=CC=CN=C1C1=CC=NC=C1)N1CCC(O)(CC2=CC3OC3C=C2)CC1 O=C(C1=CC=CN=C1C1=CC=NC=C1)N1CCC(O)(CC2=CC=CCC2O)CC1 O=C(C1=CC=CN=C1c1ccncc1)N1CCC(O)(CC2=CC=CC=C2)CC1
