substrate,truth,mapped_rxn,pred_rxn,site_truth
CCOc1ccc(NC(=S)N(CCO)Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1,Cc1cc(C)c2[nH]c(=O)c(CN3CCOC3=N)cc2c1,Cc1cc(C)c2[nH]c(=O)c(CN3CCOC3=N)cc2c1>>CCOc1ccc(NC(=S)N(CCO)Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1,[CH3:21][c:20]1[cH:22][c:23]([CH3:24])[c:25]2[nH:26][c:27](=[O:28])[c:16]([CH2:15][N:11]3[CH2:12][CH2:13][O:14][C:9]3=[NH:8])[cH:17][c:18]2[cH:19]1>>CCOc1ccc([NH:8][C:9](=S)[N:11]([CH2:12][CH2:13][OH:14])[CH2:15][c:16]2[cH:17][c:18]3[cH:19][c:20]([CH3:21])[cH:22][c:23]([CH3:24])[c:25]3[nH:26][c:27]2=[O:28])cc1,CCOc1ccc([NH:1][C:1](=S)N(CC[OH:1])Cc2cc3cc(C)cc(C)c3[nH]c2=O)cc1
COc1ccc2c(Oc3ccc(C4(C(=O)NO)CCOCC4)cc3)ccnc2n1,COc1ccc2c(Oc3ccc(C4(C(=O)NOC5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CCOCC4)cc3)ccnc2n1,COc1ccc2c(Oc3ccc(C4(C(=O)NOC5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)CCOCC4)cc3)ccnc2n1>>COc1ccc2c(Oc3ccc(C4(C(=O)NO)CCOCC4)cc3)ccnc2n1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][c:9]3[cH:10][cH:11][c:12]([C:13]4([C:14](=[O:15])[NH:16][O:17]C5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)[CH2:18][CH2:19][O:20][CH2:21][CH2:22]4)[cH:23][cH:24]3)[cH:25][cH:26][n:27][c:28]2[n:29]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([O:8][c:9]3[cH:10][cH:11][c:12]([C:13]4([C:14](=[O:15])[NH:16][OH:17])[CH2:18][CH2:19][O:20][CH2:21][CH2:22]4)[cH:23][cH:24]3)[cH:25][cH:26][n:27][c:28]2[n:29]1,COc1ccc2c(Oc3ccc(C4(C(=O)N[OH:1])CCOCC4)cc3)ccnc2n1
C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(CO)C(O)C(O)C1O,C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(CO)C(O)C(O)C1O>>C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,[CH3:1]/[CH:2]=[CH:3]/[C:4]#[C:5][C:6]#[C:7][CH:8]([OH:9])[CH:10](/[CH:11]=[CH:12]/[CH2:13][CH2:14][CH2:15][OH:16])[O:17][CH:18]1[O:19][CH:20]([CH2:21][OH:22])[CH:34]([OH:35])[CH:36]([OH:37])[CH:38]1[OH:39]>>[CH3:1]/[CH:2]=[CH:3]/[C:4]#[C:5][C:6]#[C:7][CH:8]([OH:9])[CH:10](/[CH:11]=[CH:12]/[CH2:13][CH2:14][CH2:15][OH:16])[O:17][CH:18]1[O:19][CH:20]([CH2:21][O:22]C2OC(CO)C(O)C(O)C2O)[CH:34]([OH:35])[CH:36]([OH:37])[CH:38]1[OH:39],C/C=C/C#CC#CC(O)C(/C=C/CCCO)OC1OC(C[O:1]C2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)CC2)s1,O=S(=O)(c1cnc(CO)s1)N1CCC(c2cn3ncnc3cc2Cl)CC1,O=S(=O)(c1cnc(CO)s1)N1CCC(c2cn3ncnc3cc2Cl)CC1>>Cc1ncc(S(=O)(=O)N2CCC(c3cn4ncnc4cc3Cl)CC2)s1,[O:7]=[S:6](=[O:8])([c:5]1[cH:4][n:3][c:2]([CH2:1]O)[s:25]1)[N:9]1[CH2:10][CH2:11][CH:12]([c:13]2[cH:14][n:15]3[n:16][cH:17][n:18][c:19]3[cH:20][c:21]2[Cl:22])[CH2:23][CH2:24]1>>[CH3:1][c:2]1[n:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[N:9]2[CH2:10][CH2:11][CH:12]([c:13]3[cH:14][n:15]4[n:16][cH:17][n:18][c:19]4[cH:20][c:21]3[Cl:22])[CH2:23][CH2:24]2)[s:25]1,O=S(=O)(c1cnc([CH3:1])s1)N1CCC(c2cn3ncnc3cc2Cl)CC1
COc1ccc(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,OCC1OC(OCCCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,OCC1OC(OCCCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O>>COc1ccc(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,[OH:16][CH2:15][CH:14]1[O:13][CH:12]([O:11][CH2:10][CH2:9][CH2:8][CH2:7][c:6]2[cH:5][cH:4][c:3]([OH:2])[cH:24][cH:23]2)[C@H:21]([OH:22])[C@@H:19]([OH:20])[C@@H:17]1[OH:18]>>C[O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][CH2:8][CH2:9][CH2:10][O:11][CH:12]2[O:13][CH:14]([CH2:15][OH:16])[C@@H:17]([OH:18])[C@H:19]([OH:20])[C@H:21]2[OH:22])[cH:23][cH:24]1,C[O:1]c1ccc(CCCCOC2OC(CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12>>O=C(O)C1OC(Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,[O:22]=[c:21]1[cH:20][c:12](-[c:13]2[cH:14][cH:15][c:16]([OH:17])[cH:18][cH:19]2)[o:11][c:10]2[cH:9][c:8]([OH:7])[c:26]([OH:27])[c:24]([OH:25])[c:23]12>>O=C(O)C1OC([O:7][c:8]2[cH:9][c:10]3[o:11][c:12](-[c:13]4[cH:14][cH:15][c:16]([OH:17])[cH:18][cH:19]4)[cH:20][c:21](=[O:22])[c:23]3[c:24]([OH:25])[c:26]2[OH:27])C(O)C(O)C1O,O=C(O)C1OC([O:1]c2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O
CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1,O=C(NCCCOc1cccc([C@](O)(C(=O)O)c2ccccc2)c1)c1ccc(CNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)cc1,O=C(NCCCOc1cccc([C@](O)(C(=O)O)c2ccccc2)c1)c1ccc(CNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)cc1>>CN1CCC[C@@H](OC(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1,[O:29]=[C:28]([NH:27][CH2:26][CH2:25][CH2:24][O:23][c:22]1[cH:21][cH:20][cH:19][c:18]([C@:10]([OH:11])([C:8](=[O:9])[OH:7])[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[cH:53]1)[c:30]1[cH:31][cH:32][c:33]([CH2:34][NH:35][CH2:36][C@H:37]([OH:38])[c:39]2[cH:40][cH:41][c:42]([OH:43])[c:44]3[nH:45][c:46](=[O:47])[cH:48][cH:49][c:50]23)[cH:51][cH:52]1>>CN1CCC[C@@H]([O:7][C:8](=[O:9])[C@:10]([OH:11])([c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[c:18]2[cH:19][cH:20][cH:21][c:22]([O:23][CH2:24][CH2:25][CH2:26][NH:27][C:28](=[O:29])[c:30]3[cH:31][cH:32][c:33]([CH2:34][NH:35][CH2:36][C@H:37]([OH:38])[c:39]4[cH:40][cH:41][c:42]([OH:43])[c:44]5[nH:45][c:46](=[O:47])[cH:48][cH:49][c:50]45)[cH:51][cH:52]3)[cH:53]2)C1,CN1CCC[C@@H]([O:1]C(=O)[C@](O)(c2ccccc2)c2cccc(OCCCNC(=O)c3ccc(CNC[C@H](O)c4ccc(O)c5[nH]c(=O)ccc45)cc3)c2)C1
CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1,CC[C@@H](CO)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1,CC[C@@H](CO)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1>>CC[C@H](C)C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1,[CH3:1][CH2:2][C@@H:3]([CH2:4]O)[C:5](=[O:6])[N:7]1[CH2:8][CH2:9][CH:10]([NH:11][C:12](=[O:13])[NH:14][c:15]2[cH:16][cH:17][c:18]([O:19][C:20]([F:21])([F:22])[F:23])[c:24]([F:25])[cH:26]2)[CH2:27][CH2:28]1>>[CH3:1][CH2:2][C@H:3]([CH3:4])[C:5](=[O:6])[N:7]1[CH2:8][CH2:9][CH:10]([NH:11][C:12](=[O:13])[NH:14][c:15]2[cH:16][cH:17][c:18]([O:19][C:20]([F:21])([F:22])[F:23])[c:24]([F:25])[cH:26]2)[CH2:27][CH2:28]1,CC[C@@H](C(=O)N1CCC(NC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1)[CH3:1]
CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)O>>CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O,[CH3:1][N:2]([C:3](=[O:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][s:10]1)[C@@H:11]([CH2:12][c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]12)[C:22](=[O:23])[NH:24][C@@:25]([CH3:26])([CH2:27][c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1)[C:34](=[O:35])[NH:36][C@@H:37]([CH2:38][CH2:39][CH2:40][NH:41][C:42](=[NH:43])[NH2:44])[C:45](=[O:46])[N:47]1[CH2:48][CH2:49][CH2:50][C@H:51]1[C:52](=[O:53])[NH:54][C@@H:55]([CH2:56][CH2:57][CH2:58][NH:59][C:60](=[NH:61])[NH2:62])[C:63](=[O:65])O>>[CH3:1][N:2]([C:3](=[O:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][s:10]1)[C@@H:11]([CH2:12][c:13]1[cH:14][nH:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]12)[C:22](=[O:23])[NH:24][C@@:25]([CH3:26])([CH2:27][c:28]1[cH:29][cH:30][cH:31][cH:32][cH:33]1)[C:34](=[O:35])[NH:36][C@@H:37]([CH2:38][CH2:39][CH2:40][NH:41][C:42](=[NH:43])[NH2:44])[C:45](=[O:46])[N:47]1[CH2:48][CH2:49][CH2:50][C@H:51]1[C:52](=[O:53])[NH:54][C@@H:55]([CH2:56][CH2:57][CH2:58][NH:59][C:60](=[NH:61])[NH2:62])[C:63](N)=[O:65],CN(C(=O)Cc1cccs1)[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@](C)(Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(N)=O
CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)C1,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1>>CCN(CC)C(=O)C1C=C2c3cccc4c3c(cn4C(=O)C3CC3)CC2N(C)C1,[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[C:6](=[O:7])[CH:8]1[CH:9]=[C:10]2[c:11]3[cH:12][cH:13][cH:14][c:15]4[nH:19][cH:18][c:17]([c:16]34)[CH2:25][CH:26]2[N:27]([CH3:28])[CH2:29]1>>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[C:6](=[O:7])[CH:8]1[CH:9]=[C:10]2[c:11]3[cH:12][cH:13][cH:14][c:15]4[c:16]3[c:17]([cH:18][n:19]4C(=O)C3CC3)[CH2:25][CH:26]2[N:27]([CH3:28])[CH2:29]1,CCN(CC)C(=O)C1C=C2c3cccc4c3c(c[n:1]4C(=O)C3CC3)CC2N(C)C1
