substrate,all_predictions,metabolites,top_5
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1O|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(c2ccc(Cl)cc2)C1O|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N)c(NCC5CCOCC5)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CC[C@H](CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(c2ccc(Cl)cc2)C1O|CC1(C)CCC(CN2CCN(c3ccc(C(O)=NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)C=C(c2ccc(Cl)cc2)C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)CC1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5O)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c(N)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1O|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C1c1ccc(Cl)cc1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c(N)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c(O)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1O|CC1(CO)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(C[N+]2([O-])CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)C(=O)C2)=C(c2ccc(Cl)cc2)C1|CC1(C)CC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(O)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1O|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(c2ccc(Cl)cc2)C1O|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1|CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N)c(NCC5CCOCC5)c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(N=C(O)O)cc21|CCNCC(=O)N1c2ccccc2CCc2ccc(N)cc21|CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21|CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)O)cc21|CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc21|CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCCO)cc21|CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(N)cc21|CCOC(=O)Nc1ccc2c(c1)N(C(=O)CNCCO)c1ccccc1CC2|CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCCO)cc21|CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)O)cc21|CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)OC(C)O)cc21|CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(N=C(O)OCCO)cc21|CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CCO)c1ccccc1CC2|CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(N=C(O)OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc21,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(N=C(O)O)cc21|CCNCC(=O)N1c2ccccc2CCc2ccc(N)cc21|CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21|CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)O)cc21|CCN(CC)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc21
C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,CC(N)C(O)c1cccc(Cl)c1|C[C@H]([NH2+]C(C)(C)CO)[C@H](O)c1cccc(Cl)c1|CC([NH2+]C(C)(C)CO)C(=O)c1cccc(Cl)c1|C[C@H](N)C(=O)c1cccc(Cl)c1|C[C@@H](NC(C)(C)C)[C@H](O)c1cccc(Cl)c1|C[C@H](NC(C)(C)C)[C@H](O)c1cccc(Cl)c1|C[C@H](N)[C@H](O)c1cccc(Cl)c1|CC([NH2+]C(C)(C)C)C(O)c1cccc(Cl)c1|C[C@@H]([NH2+]C(C)(C)C)[C@H](O)c1cccc(Cl)c1|CC(NC(C)(C)C)C(O)c1cccc(Cl)c1|CC([NH2+]C(C)(C)C)[C@H](O)c1cccc(Cl)c1|CC(N)C(=O)c1cccc(Cl)c1|C[C@H](NC(C)(C)C)[C@@H](O)c1cccc(Cl)c1|C[C@H](NC(C)(C)C)[C@H](O)c1ccc(Cl)cc1|C[C@H]([NH2+]C(C)(C)C)[C@H](O)c1cccc(Cl)c1,CC(C)(C)N[C@H](CO)C(=O)c1cccc(Cl)c1|C[C@H](NC(C)(C)C)C(=O)c1ccc(O)c(Cl)c1|C[C@@H](NC(C)(C)CO)C(=O)c1cccc(Cl)c1|C[C@@H](NC(C)(C)C)C(=O)c1cc(O)cc(Cl)c1|CC(NC(C)(C)CO)C(=O)c1cccc(Cl)c1|C[C@@H]1NC(C)(C)CO[C@]1(O)c1cccc(Cl)c1,CC(N)C(O)c1cccc(Cl)c1|C[C@H]([NH2+]C(C)(C)CO)[C@H](O)c1cccc(Cl)c1|CC([NH2+]C(C)(C)CO)C(=O)c1cccc(Cl)c1|C[C@H](N)C(=O)c1cccc(Cl)c1|C[C@@H](NC(C)(C)C)[C@H](O)c1cccc(Cl)c1
CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21|CNCCCN1c2ccccc2CCc2ccccc21|CN(C)CCCN1c2ccccc2CCc2c(O)cccc21|CN(C)CCCN1c2ccccc2CCc2ccc(O)cc21|C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21|CN(C)CCCN1c2ccccc2CC(O)c2ccccc21,CNCCCN1c2ccccc2CCc2ccccc21|NCCCN1c2ccccc2CCc2ccccc21|c1ccc2c(c1)CCc1ccccc1N2|CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21|C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21|CNCCCN1c2ccccc2CCc2ccccc21|CN(C)CCCN1c2ccccc2CCc2c(O)cccc21|CN(C)CCCN1c2ccccc2CCc2ccc(O)cc21|C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CS(=O)(=O)CCNCc1ccc(-c2ccc3nc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncc3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccc(O)c(Cl)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4cc(Cl)c(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(O)c(Cl)c4)c3c2)o1|NCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccc(O)c(F)c5)c(Cl)c4)c3c2)o1,NCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(O)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCN(O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CS(=O)(=O)CCNCc1ccc(-c2ccc3nc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncc3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccc(O)c(Cl)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4cc(Cl)c(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(O)c(Cl)c4)c3c2)o1|NCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2O)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C|CC(C)(C)c1cc(-n2ccc(=O)[nH]c2=O)cc(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)c1O|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2cc(O)c(=O)[nH]c2=O)cc1C(C)(C)C|COc1c(-c2ccc3cc(N)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(O)nc2=O)cc1C(C)(C)C|CC(C)(C)c1cc(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(=O)[nH]c1=O|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(N2CCC(O)NC2=O)cc1C(C)(C)C|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C=O|CC(C)(CO)c1cc(-n2ccc(=O)[nH]c2=O)cc(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)c1O|CC(C)(C)c1cc(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)c1O|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)CO|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)O,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)CO,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2O)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C|CC(C)(C)c1cc(-n2ccc(=O)[nH]c2=O)cc(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)c1O|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2cc(O)c(=O)[nH]c2=O)cc1C(C)(C)C|COc1c(-c2ccc3cc(N)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(O)nc2=O)cc1C(C)(C)C
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CNCCC(Oc1ccccc1CO)c1ccccc1|CNCC[C@@H](Oc1ccccc1)c1ccc(O)cc1|CNCC[C@H](Oc1ccccc1CO)c1ccccc1|CNCCC(Oc1ccccc1C)c1ccc(O)cc1|CNCC[C@H](Oc1ccc(O)cc1C)c1ccccc1|Cc1ccccc1O[C@@H](CC=O)c1ccccc1|CNCCC(Oc1ccc(O)cc1)c1ccccc1|CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1|CNCC[C@H](Oc1ccccc1C)c1ccc(O)cc1|Cc1ccccc1O[C@H](CCN)c1ccccc1|CNCC[C@H](Oc1ccc(O)cc1)c1ccccc1|CNCCC(Oc1ccc(O)cc1C)c1ccccc1|Cc1ccccc1O[C@H](CC=O)c1ccccc1|Cc1ccccc1O[C@@H](CCN)c1ccccc1|CNCC[C@@H](Oc1cc(O)ccc1C)c1ccccc1|Cc1ccccc1O[C@@H](CC=O)c1ccccc1C|NCC[C@@H](Oc1ccccc1)c1ccccc1|CNCCC(Oc1ccccc1C)c1ccc(O)cc1O,CNCC[C@@H](Oc1ccccc1CO)c1ccccc1|Cc1ccccc1O[C@H](CCN)c1ccccc1|CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1,CNCCC(Oc1ccccc1CO)c1ccccc1|CNCC[C@@H](Oc1ccccc1)c1ccc(O)cc1|CNCC[C@H](Oc1ccccc1CO)c1ccccc1|CNCCC(Oc1ccccc1C)c1ccc(O)cc1|CNCC[C@H](Oc1ccc(O)cc1C)c1ccccc1
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2(O)O|C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O|C[C@]12C=CC(=O)C(Cl)=C1CCC1C2CC[C@]2(C)C1CC[C@]2(C)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|CC12C=CC(=O)C(Cl)=C1CCC1C2C(O)CC2(C)C1CCC2(C)O|C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H]1CC[C@]2(C)O|C[C@]12C=CC(=O)C(Cl)=C1CCC1C2CC[C@@]2(C)C1CC[C@]2(O)CO|C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(CO)[C@H]3CC[C@@]21C|CO[C@@]1(C)CC[C@@H]2[C@H]3CCC4=C(Cl)C(=O)C=C[C@]4(C)[C@H]3CC[C@]21C|C[C@]12C=CC(=O)C(Cl)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H]1CC[C@]2(C)OS(=O)(=O)O|C[C@]1(O)CCC2C3CCC4=C(Cl)C(=O)CC[C@]4(C)C3CC[C@@]21C|CC12C=CC(=O)C(Cl)=C1CCC1C2C(O)CC2(C)C1CCC2(O)CO|CO[C@@]1(C)CC[C@@H]2[C@@H]3CCC4=C(Cl)C(=O)C=C[C@]4(C)[C@H]3CC[C@]21C|C[C@]1(O)CCC2C3CCC4=CC(=O)C=C[C@]4(C)C3C(O)C[C@]21C|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(O)CO|C[C@]12C=CC(=O)C(Cl)=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(O)CO|C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O|C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(Cl)C(=O)C=C[C@]4(CO)[C@H]3CC[C@@]21C,C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2[C@@H](O)C[C@]2(C)[C@@H]1CC[C@]2(C)O,C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2(O)O|C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O|C[C@]12C=CC(=O)C(Cl)=C1CCC1C2CC[C@]2(C)C1CC[C@]2(C)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|CC12C=CC(=O)C(Cl)=C1CCC1C2C(O)CC2(C)C1CCC2(C)O
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccc(O)cn3)n[nH]c2c1|CNC(=O)c1cc(O)ccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1ccc(O)cc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1ccccc1S(=O)c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|NC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1ccc(Sc2ccc3c(/C=C/c4ccccn4)n[nH]c3c2)cc1|CNC(=O)c1ccc(S(=O)c2ccc3c(/C=C/c4ccccn4)n[nH]c3c2)cc1|O=C(O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1Sc1ccc2c(C3OC3c3ccccn3)n[nH]c2c1|CNC(=O)c1ccccc1S(=O)c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3cccc[n+]3[O-])n[nH]c2c1|O=C(NCO)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccc(O)cn3)n[nH]c2c1|CNC(=O)c1cc(O)ccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1ccc(O)cc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|CNC(=O)c1ccccc1S(=O)c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1|NC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,COc1ccc(O)cc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO|CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccc(O)cc2O)cc1|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncc(O)cn2)nc1OCCO|CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccccc2O)cc1|COc1cc(O)ccc1Oc1c(O)nc(-c2ncccn2)nc1NS(=O)(=O)c1ccc(C(C)(C)C)cc1|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncccn2)nc1OCCO|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)O)cc2)nc(-c2ncccn2)nc1OCCO|COc1cc(O)ccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCC(=O)O|CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2O)cc1|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncccn2)nc1OCC(=O)O|CC(C)(CO)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccccc2O)cc1,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncccn2)nc1OCCO|CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccccc2O)cc1,COc1ccc(O)cc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO|CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccc(O)cc2O)cc1|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncc(O)cn2)nc1OCCO|CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccccc2O)cc1|COc1cc(O)ccc1Oc1c(O)nc(-c2ncccn2)nc1NS(=O)(=O)c1ccc(C(C)(C)C)cc1
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)c(I)c1F|O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1O|O=C(NOCCOC1OC(O)C(O)C(O)C1O)c1ccc2cncn2c1Nc1ccccc1F|O=C(NO)c1ccc2cncn2c1Nc1ccc(I)cc1F|O=C(NOCC(O)O)c1ccc2cncn2c1Nc1ccc(I)cc1F|O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(O)cc1F|O=C(O)c1ccc2cncn2c1Nc1ccc(I)cc1F|O=C(NOCCOC1OC(O)C(O)C(O)C1O)c1ccc2cncn2c1Nc1ccc(I)cc1|O=C(NOCCO)C(=O)c1ccc2cncn2c1Nc1ccc(I)cc1|O=C(NOCCO)c1ccc2c(O)ncn2c1Nc1ccc(I)cc1F|O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)c(F)c1|O=C(NOCCO)c1cc(O)c2cncn2c1Nc1ccc(I)cc1F|O=C(O)CONC(=O)c1ccc2cncn2c1Nc1ccc(I)cc1F,O=c1[nH]n(-c2ccc(I)cc2F)c2c1ccc1cncn12|NC(=O)c1ccc2cncn2c1Nc1ccc(I)cc1F,O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)c(I)c1F|O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1O|O=C(NOCCOC1OC(O)C(O)C(O)C1O)c1ccc2cncn2c1Nc1ccccc1F|O=C(NO)c1ccc2cncn2c1Nc1ccc(I)cc1F|O=C(NOCC(O)O)c1ccc2cncn2c1Nc1ccc(I)cc1F
